address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,listing_id,listing_time,list_url,date_scraped
1010 Martin St SE,Atlanta,GA,30315,"$199,000",1,1,658,33.72688,-84.38301,House for sale,35882784,4 hours ago,https://www.zillow.com/homedetails/1010-Martin-St-SE-Atlanta-GA-30315/35882784_zpid/,06-10-2022_18:57:36
2318 Capella Cir SW,Atlanta,GA,30331,"$290,000",3,3,"1,623",33.68886,-84.62023,Townhouse for sale,171602088,4 hours ago,https://www.zillow.com/homedetails/2318-Capella-Cir-SW-Atlanta-GA-30331/171602088_zpid/,06-10-2022_18:57:36
1388 La France St #UNIT 15,Atlanta,GA,30307,"$675,000",3,4,--,33.7676,-84.3395,Townhouse for sale,2091052996,Open: Sun. 3-5pm,https://www.zillow.com/homedetails/1388-La-France-St-UNIT-15-Atlanta-GA-30307/2091052996_zpid/,06-10-2022_18:57:36
850 Piedmont Ave NE UNIT 3318,Atlanta,GA,30308,"$739,900",2,3,"2,442",33.777756,-84.38165,Townhouse for sale,2062910906,4 hours ago,https://www.zillow.com/homedetails/850-Piedmont-Ave-NE-UNIT-3318-Atlanta-GA-30308/2062910906_zpid/,06-10-2022_18:57:36
1011 Moreland Dr SE,Atlanta,GA,30315,"$300,000",3,2,996,33.708664,-84.355835,House for sale,35889391,Open: Sat. 11am-2pm,https://www.zillow.com/homedetails/1011-Moreland-Dr-SE-Atlanta-GA-30315/35889391_zpid/,06-10-2022_18:57:36
1841 Almeta Ave NE,Atlanta,GA,30307,"$1,975,000",,,,33.766197,-84.327095,Lot / Land for sale,2068523388,4 hours ago,https://www.zillow.com/homedetails/1841-Almeta-Ave-NE-Atlanta-GA-30307/2068523388_zpid/,06-10-2022_18:57:36
2218 Belvedere Ave SW,Atlanta,GA,30311,"$524,900",4,3,"2,806",33.720695,-84.46085,House for sale,35858653,4 hours ago,https://www.zillow.com/homedetails/2218-Belvedere-Ave-SW-Atlanta-GA-30311/35858653_zpid/,06-10-2022_18:57:36
1401 Liberty Pkwy NW,Atlanta,GA,30318,"$390,000",3,4,"1,220",33.818012,-84.44039,Townhouse for sale,82627189,4 hours ago,https://www.zillow.com/homedetails/1401-Liberty-Pkwy-NW-Atlanta-GA-30318/82627189_zpid/,06-10-2022_18:57:36
690 Penn Ave NE,Atlanta,GA,30308,"$1,800,000",-,-,--,33.773487,-84.3793,Multi-family home for sale,88824270,4 hours ago,https://www.zillow.com/homedetails/690-Penn-Ave-NE-Atlanta-GA-30308/88824270_zpid/,06-10-2022_18:57:36
651 McGruder St NE,Atlanta,GA,30312,"$1,169,000",3,4,"2,375",33.75835,-84.36594,House for sale,69344809,11 hours ago,https://www.zillow.com/homedetails/651-McGruder-St-NE-Atlanta-GA-30312/69344809_zpid/,06-10-2022_18:57:36
171 Auburn Ave NE UNIT 428,Atlanta,GA,30303,"$275,000",2,2,"1,091",33.75542,-84.381584,Condo for sale,2087538920,12 hours ago,https://www.zillow.com/homedetails/171-Auburn-Ave-NE-UNIT-428-Atlanta-GA-30303/2087538920_zpid/,06-10-2022_18:57:36
1649 Beecher St SW,Atlanta,GA,30310,"$375,000",4,2,"1,873",33.733936,-84.441734,House for sale,35847486,Play video iconVideo Walkthrough,https://www.zillow.com/homedetails/1649-Beecher-St-SW-Atlanta-GA-30310/35847486_zpid/,06-10-2022_18:57:36
783 Yorkshire Rd NE,Atlanta,GA,30306,"$1,295,000",4,4,"3,639",33.794983,-84.36144,House for sale,35930179,14 hours ago,https://www.zillow.com/homedetails/783-Yorkshire-Rd-NE-Atlanta-GA-30306/35930179_zpid/,06-10-2022_18:57:36
306 Peachtree Ave NE,Atlanta,GA,30305,"$1,499,000",5,5,"3,488",33.83504,-84.37767,House for sale,35932710,14 hours ago,https://www.zillow.com/homedetails/306-Peachtree-Ave-NE-Atlanta-GA-30305/35932710_zpid/,06-10-2022_18:57:36
20 Marietta St NW APT 13F,Atlanta,GA,30303,"$135,000",,1,543,33.75458,-84.390625,Condo for sale,35888535,15 hours ago,https://www.zillow.com/homedetails/20-Marietta-St-NW-APT-13F-Atlanta-GA-30303/35888535_zpid/,06-10-2022_18:57:36
175 15th St NE SUITE 403,Atlanta,GA,30309,"$579,900",2,2,"1,170",33.788334,-84.38187,Condo for sale,35898162,15 hours ago,https://www.zillow.com/homedetails/175-15th-St-NE-SUITE-403-Atlanta-GA-30309/35898162_zpid/,06-10-2022_18:57:36
1662 Jackson Sq NW,Atlanta,GA,30318,"$250,000",2,3,"1,416",33.797104,-84.47621,Townhouse for sale,65470920,15 hours ago,https://www.zillow.com/homedetails/1662-Jackson-Sq-NW-Atlanta-GA-30318/65470920_zpid/,06-10-2022_18:57:36
1609 S Ponce De Leon Ave NE #A,Atlanta,GA,30307,"$1,995,000",4,5,"4,574",,,New construction,2084613909,20 hours ago,https://www.zillow.com/homedetails/1609-S-Ponce-De-Leon-Ave-NE-A-Atlanta-GA-30307/2084613909_zpid/,06-10-2022_18:57:36
3338 Peachtree Rd NE APT 2105,Atlanta,GA,30326,"$635,000",3,3,"1,876",33.852448,-84.36318,Condo for sale,2063210424,1 day on Zillow,https://www.zillow.com/homedetails/3338-Peachtree-Rd-NE-APT-2105-Atlanta-GA-30326/2063210424_zpid/,06-10-2022_18:57:36
565 E Wesley Rd NE,Atlanta,GA,30305,"$974,900",5,4,--,33.830452,-84.36919,House for sale,35932995,1 day on Zillow,https://www.zillow.com/homedetails/565-E-Wesley-Rd-NE-Atlanta-GA-30305/35932995_zpid/,06-10-2022_18:57:36
480 John Wesley Dobbs Ave NE UNIT 609,Atlanta,GA,30312,"$335,000",1,1,960,33.75975,-84.37081,Condo for sale,2066269449,1 day on Zillow,https://www.zillow.com/homedetails/480-John-Wesley-Dobbs-Ave-NE-UNIT-609-Atlanta-GA-30312/2066269449_zpid/,06-10-2022_18:57:36
496 Shannon Dr SW,Atlanta,GA,30310,"$509,900",3,2,"1,645",33.71651,-84.40392,House for sale,35891407,Open: Sun. 12-3pm,https://www.zillow.com/homedetails/496-Shannon-Dr-SW-Atlanta-GA-30310/35891407_zpid/,06-10-2022_18:57:36
1240 Reeder Cir,Atlanta,GA,30306,"$1,895,000",5,5,"4,618",33.79375,-84.34654,House for sale,14521089,Open: Sun. 3-5pm,https://www.zillow.com/homedetails/1240-Reeder-Cir-Atlanta-GA-30306/14521089_zpid/,06-10-2022_18:57:36
481 Lakeshore Dr,Atlanta,GA,30307,"$725,000",3,2,"1,476",33.767384,-84.3246,House for sale,14478284,Play video iconVideo Walkthrough,https://www.zillow.com/homedetails/481-Lakeshore-Dr-Atlanta-GA-30307/14478284_zpid/,06-10-2022_18:57:36
823 E Morningside Dr NE,Atlanta,GA,30324,"$875,000",4,3,"1,976",33.79807,-84.36051,House for sale,35929973,Open: Sun. 2-4pm,https://www.zillow.com/homedetails/823-E-Morningside-Dr-NE-Atlanta-GA-30324/35929973_zpid/,06-10-2022_18:57:36
101 Carter Ave,Atlanta,GA,30317,"$625,000",3,3,"1,938",33.749264,-84.30561,House for sale,14465600,Open: Sun. 2-4pm,https://www.zillow.com/homedetails/101-Carter-Ave-Atlanta-GA-30317/14465600_zpid/,06-10-2022_18:57:36
623 Kent St SE,Atlanta,GA,30312,"$679,000",3,2,"1,648",33.737644,-84.37771,House for sale,35877443,Open: Sun. 1-3pm,https://www.zillow.com/homedetails/623-Kent-St-SE-Atlanta-GA-30312/35877443_zpid/,06-10-2022_18:57:36
1445 Monroe Dr NE APT F32,Atlanta,GA,30324,"$289,900",2,2,"1,060",33.79404,-84.36567,Condo for sale,69382055,1 day on Zillow,https://www.zillow.com/homedetails/1445-Monroe-Dr-NE-APT-F32-Atlanta-GA-30324/69382055_zpid/,06-10-2022_18:57:36
1232 Holly St NW,Atlanta,GA,30318,"$489,900",3,2,"1,280",33.788475,-84.396065,House for sale,35899516,1 day on Zillow,https://www.zillow.com/homedetails/1232-Holly-St-NW-Atlanta-GA-30318/35899516_zpid/,06-10-2022_18:57:36
390 17th St NW UNIT 4019,Atlanta,GA,30363,"$343,000",2,2,"1,166",33.79032,-84.39955,Condo for sale,2087627051,Open: Sun. 1-4pm,https://www.zillow.com/homedetails/390-17th-St-NW-UNIT-4019-Atlanta-GA-30363/2087627051_zpid/,06-10-2022_18:57:36
788 W Marietta St NW #412,Atlanta,GA,30318,"$294,900",,1,616,33.780006,-84.4147,New construction,2076555395,Open: Th: 12:00 PM-5:00...,https://www.zillow.com/homedetails/788-W-Marietta-St-NW-412-Atlanta-GA-30318/2076555395_zpid/,06-10-2022_18:57:36
