address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,list_url,date_scraped,listing_id,listing_time
0 Daniel Boone Dr,Dripping Springs,TX,78620,"$599,000",,,,,,Active,https://www.zillow.com/homedetails/0-Daniel-Boone-Dr-Dripping-Springs-TX-78620/2066560676_zpid/,06-14-2022_12:28:11,2066560676,11 minutes ago
2211 Santa Rosa St,Austin,TX,78702,"$1,299,990",4,3,"2,075",30.258356,-97.71865,Active,https://www.zillow.com/homedetails/2211-Santa-Rosa-St-Austin-TX-78702/29383115_zpid/,06-14-2022_12:28:11,29383115,11 minutes ago
5752 Alsace Trl,Austin,TX,78724,"$420,000",3,2,"1,170",30.289698,-97.64636,Active,https://www.zillow.com/homedetails/5752-Alsace-Trl-Austin-TX-78724/64553214_zpid/,06-14-2022_12:28:11,64553214,26 minutes ago
1600 Barton Springs Rd UNIT 3601,Austin,TX,78704,"$1,275,000",3,2,"1,686",30.262539,-97.76191,Active,https://www.zillow.com/homedetails/1600-Barton-Springs-Rd-UNIT-3601-Austin-TX-78704/83124442_zpid/,06-14-2022_12:28:11,83124442,41 minutes ago
12166 Metric Blvd APT 172,Austin,TX,78758,"$349,000",2,2,"1,004",30.407125,-97.698135,Active,https://www.zillow.com/homedetails/12166-Metric-Blvd-APT-172-Austin-TX-78758/80099381_zpid/,06-14-2022_12:28:11,80099381,57 minutes ago
2600 Aftonshire Way #A,Austin,TX,78748,"$415,000",2,2,999,30.17849,-97.83373,Active,https://www.zillow.com/homedetails/2600-Aftonshire-Way-A-Austin-TX-78748/2062778080_zpid/,06-14-2022_12:28:11,2062778080,1 hour ago
2600 Aftonshire Way #B,Austin,TX,78748,"$425,000",2,2,947,30.17849,-97.83373,Active,https://www.zillow.com/homedetails/2600-Aftonshire-Way-B-Austin-TX-78748/2062778081_zpid/,06-14-2022_12:28:11,2062778081,1 hour ago
2906 Rio Grande St,Austin,TX,78705,"$1,695,000",2,3,"1,601",30.296528,-97.743835,Active,https://www.zillow.com/homedetails/2906-Rio-Grande-St-Austin-TX-78705/29398131_zpid/,06-14-2022_12:28:11,29398131,1 hour ago
7605 Barcelona Cv,Austin,TX,78752,"$415,000",2,2,"1,606",30.33012,-97.685326,Active,https://www.zillow.com/homedetails/7605-Barcelona-Cv-Austin-TX-78752/29413872_zpid/,06-14-2022_12:28:11,29413872,1 hour ago
2101 Wheless Ln,Austin,TX,78723,"$595,000",-,-,"1,440",30.312887,-97.686424,Active,https://www.zillow.com/homedetails/2101-Wheless-Ln-Austin-TX-78723/29407182_zpid/,06-14-2022_12:28:11,29407182,2 days on Zillow
1808 W 38th St,Austin,TX,78731,"$1,100,000",-,-,"1,950",30.311289,-97.7524,Active,https://www.zillow.com/homedetails/1808-W-38th-St-Austin-TX-78731/29340214_zpid/,06-14-2022_12:28:11,29340214,2 days on Zillow
1112 Cripple Creek Dr,Austin,TX,78758,"$576,000",3,2,"1,908",30.374626,-97.69984,Active,https://www.zillow.com/homedetails/1112-Cripple-Creek-Dr-Austin-TX-78758/29431471_zpid/,06-14-2022_12:28:11,29431471,2 days on Zillow
2115 Bluebonnet Ln APT 2A,Austin,TX,78704,"$895,000",3,3,"1,752",30.24982,-97.77513,Active,https://www.zillow.com/homedetails/2115-Bluebonnet-Ln-APT-2A-Austin-TX-78704/63838173_zpid/,06-14-2022_12:28:11,63838173,2 days on Zillow
8604 Barasinga Trl,Austin,TX,78749,"$675,000",4,2,"2,249",30.205044,-97.85862,Active,https://www.zillow.com/homedetails/8604-Barasinga-Trl-Austin-TX-78749/29496232_zpid/,06-14-2022_12:28:11,29496232,2 days on Zillow
11028 Furrow Hill Dr,Austin,TX,78754,"$595,000",4,2,"2,490",30.358213,-97.642105,Active,https://www.zillow.com/homedetails/11028-Furrow-Hill-Dr-Austin-TX-78754/70339092_zpid/,06-14-2022_12:28:11,70339092,2 days on Zillow
10105 Whitley Bay Dr,Austin,TX,78717,"$1,300,000",5,4,"4,345",30.504908,-97.76067,Active,https://www.zillow.com/homedetails/10105-Whitley-Bay-Dr-Austin-TX-78717/67004962_zpid/,06-14-2022_12:28:11,67004962,2 days on Zillow
6615 La Concha Pass,Austin,TX,78749,"$1,980,000",5,5,"4,458",30.229893,-97.87321,Active,https://www.zillow.com/homedetails/6615-La-Concha-Pass-Austin-TX-78749/29481555_zpid/,06-14-2022_12:28:11,29481555,2 days on Zillow
7915 Parliament Pl,Austin,TX,78759,"$430,500",3,3,"1,616",30.432407,-97.77201,Active,https://www.zillow.com/homedetails/7915-Parliament-Pl-Austin-TX-78759/29562079_zpid/,06-14-2022_12:28:11,29562079,Play video iconVideo Walkthrough
12805 Paloma Blanca Way,Del Valle,TX,78617,"$378,000",3,2,"1,425",30.16625,-97.62575,Active,https://www.zillow.com/homedetails/12805-Paloma-Blanca-Way-Del-Valle-TX-78617/70345935_zpid/,06-14-2022_12:28:11,70345935,3 days on Zillow
5402 Golden Canary Ln,Austin,TX,78723,"$695,000",4,3,"1,888",30.296318,-97.6723,Active,https://www.zillow.com/homedetails/5402-Golden-Canary-Ln-Austin-TX-78723/2086417175_zpid/,06-14-2022_12:28:11,2086417175,3 days on Zillow
1307 Kinney Ave APT 136,Austin,TX,78704,"$565,000",2,3,"1,101",30.25533,-97.7661,Active,https://www.zillow.com/homedetails/1307-Kinney-Ave-APT-136-Austin-TX-78704/29323881_zpid/,06-14-2022_12:28:11,29323881,3 days on Zillow
7912 Nashfara Cv,Austin,TX,78759,"$1,800,000",6,5,"4,150",30.42182,-97.779625,Active,https://www.zillow.com/homedetails/7912-Nashfara-Cv-Austin-TX-78759/241930200_zpid/,06-14-2022_12:28:11,241930200,3 days on Zillow
10425 Indigo Broom Loop,Austin,TX,78733,"$1,560,000",5,4,"3,265",30.310957,-97.89691,Active,https://www.zillow.com/homedetails/10425-Indigo-Broom-Loop-Austin-TX-78733/29339537_zpid/,06-14-2022_12:28:11,29339537,3 days on Zillow
Sonata Plan,,,51,"$623,855",3,2,"1,373",30.293154,-97.6706,New construction,https://www.zillow.com/community/park-at-51-east/2079152436_zpid/,06-14-2022_12:28:11,2079152436,Open: Mon:10AM-6PM;Tue:...
Cantata Plan,,,51,"$669,170",4,3,"2,160",30.293154,-97.6706,New construction,https://www.zillow.com/community/park-at-51-east/2079152442_zpid/,06-14-2022_12:28:11,2079152442,Open: Mon:10AM-6PM;Tue:...
8113 Silhouette St,Austin,TX,78744,"$783,000",4,3,"2,460",30.148123,-97.719345,Active,https://www.zillow.com/homedetails/8113-Silhouette-St-Austin-TX-78744/331625568_zpid/,06-14-2022_12:28:11,331625568,3 days on Zillow
Langston Plan,,,,"$508,192",2,2,"1,465",30.15542,-97.71682,New construction,https://www.zillow.com/community/urban-courtyard-homes-at-easton-park/2063264495_zpid/,06-14-2022_12:28:11,2063264495,Open: M: 12:00 PM-6:00 ...
3302 Thompson St #1,Austin,TX,78702,"$1,149,000",3,3,"2,035",,,Active,https://www.zillow.com/homedetails/3302-Thompson-St-1-Austin-TX-78702/2063179262_zpid/,06-14-2022_12:28:11,2063179262,3 days on Zillow
5101 Rob Scott St,Austin,TX,78721,"$250,000",,,"5,445",30.281275,-97.679344,Active,https://www.zillow.com/homedetails/5101-Rob-Scott-St-Austin-TX-78721/83827473_zpid/,06-14-2022_12:28:11,83827473,3 days on Zillow
222 West Ave #2413,Austin,TX,78701,"$1,075,000",2,2,"1,360",30.267336,-97.75183,Active,https://www.zillow.com/homedetails/222-West-Ave-2413-Austin-TX-78701/124841066_zpid/,06-14-2022_12:28:11,124841066,3 days on Zillow
712 W 21st St APT 203,Austin,TX,78705,"$363,000",2,2,906,30.28405,-97.745255,Active,https://www.zillow.com/homedetails/712-W-21st-St-APT-203-Austin-TX-78705/62605631_zpid/,06-14-2022_12:28:11,62605631,3 days on Zillow
The Stonewall Plan,,,,"$509,900",3,3,"1,848",30.138233,-97.76202,New construction,https://www.zillow.com/community/vistas-of-austin/2068405541_zpid/,06-14-2022_12:28:11,2068405541,Open: *CLOSED WEDNESDAY...
9100 Alex Ln,Austin,TX,78748,"$635,000",3,2,"1,950",30.170301,-97.79892,House for sale,https://www.zillow.com/homedetails/9100-Alex-Ln-Austin-TX-78748/251036501_zpid/,06-14-2022_12:28:11,251036501,3 days on Zillow
7501 Sevilla Dr,Austin,TX,78752,"$699,900",3,2,"2,051",30.328232,-97.68628,Active,https://www.zillow.com/homedetails/7501-Sevilla-Dr-Austin-TX-78752/29413843_zpid/,06-14-2022_12:28:11,29413843,3 days on Zillow
1201 Grove Blvd APT 502,Austin,TX,78741,"$466,000",2,2,993,30.234577,-97.704315,Active,https://www.zillow.com/homedetails/1201-Grove-Blvd-APT-502-Austin-TX-78741/70356032_zpid/,06-14-2022_12:28:11,70356032,3 days on Zillow
360 Nueces St APT 3304,Austin,TX,78701,"$949,000",2,2,998,30.267443,-97.749405,Active,https://www.zillow.com/homedetails/360-Nueces-St-APT-3304-Austin-TX-78701/89552437_zpid/,06-14-2022_12:28:11,89552437,3 days on Zillow
2006 Arthur Ln,Austin,TX,78704,"$2,695,000",3,3,"2,452",30.25371,-97.77911,Active,https://www.zillow.com/homedetails/2006-Arthur-Ln-Austin-TX-78704/29322731_zpid/,06-14-2022_12:28:11,29322731,Play video iconVideo Walkthrough
3511 Rivercrest Dr,Austin,TX,78746,"$2,795,000",4,4,"3,300",30.338114,-97.81438,Active,https://www.zillow.com/homedetails/3511-Rivercrest-Dr-Austin-TX-78746/29344815_zpid/,06-14-2022_12:28:11,29344815,3 days on Zillow
3310 Treadsoft Cv,Austin,TX,78748,"$799,900",3,2,"1,977",30.168053,-97.85706,Active,https://www.zillow.com/homedetails/3310-Treadsoft-Cv-Austin-TX-78748/29512288_zpid/,06-14-2022_12:28:11,29512288,3 days on Zillow
1813 Eagles Glen Cv,Austin,TX,78732,"$2,150,000",5,6,"4,780",30.35507,-97.89137,Active,https://www.zillow.com/homedetails/1813-Eagles-Glen-Cv-Austin-TX-78732/70337321_zpid/,06-14-2022_12:28:11,70337321,Play video iconVideo Walkthrough
5716 Painted Valley Dr,Austin,TX,78759,"$995,000",4,3,"2,400",30.40819,-97.759476,Active,https://www.zillow.com/homedetails/5716-Painted-Valley-Dr-Austin-TX-78759/29365048_zpid/,06-14-2022_12:28:11,29365048,3 days on Zillow
2718 Bobby Ln,Austin,TX,78745,"$679,000",3,2,"1,526",30.190521,-97.82876,Active,https://www.zillow.com/homedetails/2718-Bobby-Ln-Austin-TX-78745/29504144_zpid/,06-14-2022_12:28:11,29504144,3 days on Zillow
5204 Ridge Oak Dr,Austin,TX,78731,"$4,600,000",4,4,"5,502",30.335821,-97.76181,Active,https://www.zillow.com/homedetails/5204-Ridge-Oak-Dr-Austin-TX-78731/29344270_zpid/,06-14-2022_12:28:11,29344270,"Price cut: $400,000 (May 28)"
1801 Alta Vista Ave,Austin,TX,78704,"$2,475,000",-,-,"2,407",30.242903,-97.743286,Active,https://www.zillow.com/homedetails/1801-Alta-Vista-Ave-Austin-TX-78704/29460512_zpid/,06-14-2022_12:28:11,29460512,3 days on Zillow
5628 Emma Thompson Way,Austin,TX,78747,"$389,000",3,2,"1,220",30.141933,-97.768036,Active,https://www.zillow.com/homedetails/5628-Emma-Thompson-Way-Austin-TX-78747/111371162_zpid/,06-14-2022_12:28:11,111371162,3 days on Zillow
48 East Ave #3106,Austin,TX,78701,"$740,000",1,1,740,30.25641,-97.73887,Active,https://www.zillow.com/homedetails/48-East-Ave-3106-Austin-TX-78701/2074939553_zpid/,06-14-2022_12:28:11,2074939553,4 days on Zillow
1105 W Monroe St,Austin,TX,78704,"$2,850,000",4,3,"2,560",30.251785,-97.76153,Active,https://www.zillow.com/homedetails/1105-W-Monroe-St-Austin-TX-78704/29321871_zpid/,06-14-2022_12:28:11,29321871,4 days on Zillow
12501 Bright Sky Overlook,Austin,TX,78732,"$875,000",4,3,"2,870",30.353872,-97.90525,Active,https://www.zillow.com/homedetails/12501-Bright-Sky-Overlook-Austin-TX-78732/70333779_zpid/,06-14-2022_12:28:11,70333779,4 days on Zillow
4604 Peach Grove Rd,Austin,TX,78744,"$539,900",3,3,"2,308",30.1979,-97.72999,House for sale,https://www.zillow.com/homedetails/4604-Peach-Grove-Rd-Austin-TX-78744/70327439_zpid/,06-14-2022_12:28:11,70327439,4 days on Zillow
2103 Two Greenwood Ave #B,Austin,TX,78723,"$899,000",3,3,"1,978",,,Active,https://www.zillow.com/homedetails/2103-Two-Greenwood-Ave-B-Austin-TX-78723/2062914393_zpid/,06-14-2022_12:28:11,2062914393,4 days on Zillow
