address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,list_url,date_scraped,listing_id,listing_time
1313 E Patapsco Ave,Baltimore,MD,21225,"$135,999",3,2,930,39.232708,-76.59186,Townhouse for sale,https://www.zillow.com/homedetails/1313-E-Patapsco-Ave-Baltimore-MD-21225/294976653_zpid/,06-23-2022_21:52:58,294976653,1 day on Zillow
13 Jones Falls Ter,Baltimore,MD,21209,"$350,000",3,4,"1,785",39.38383,-76.66302,Townhouse for sale,https://www.zillow.com/homedetails/13-Jones-Falls-Ter-Baltimore-MD-21209/36350498_zpid/,06-23-2022_21:52:58,36350498,Open: Sun. 11am-1pm
7053 Toby Dr #7053,Baltimore,MD,21209,"$229,000",2,2,"1,165",39.384884,-76.67082,Apartment for sale,https://www.zillow.com/homedetails/7053-Toby-Dr-7053-Baltimore-MD-21209/36355025_zpid/,06-23-2022_21:52:58,36355025,1 day on Zillow
217 S Duncan St,Baltimore,MD,21231,"$235,000",2,2,812,39.288715,-76.58653,Townhouse for sale,https://www.zillow.com/homedetails/217-S-Duncan-St-Baltimore-MD-21231/36428676_zpid/,06-23-2022_21:52:58,36428676,1 day on Zillow
618 S Luzerne Ave,Baltimore,MD,21224,"$224,900",2,2,798,39.284443,-76.580185,Townhouse for sale,https://www.zillow.com/homedetails/618-S-Luzerne-Ave-Baltimore-MD-21224/36430223_zpid/,06-23-2022_21:52:58,36430223,3D Homes Icon3D Tour
609 S Glover St,Baltimore,MD,21224,"$425,000",3,3,"2,748",39.284676,-76.579056,Townhouse for sale,https://www.zillow.com/homedetails/609-S-Glover-St-Baltimore-MD-21224/36430344_zpid/,06-23-2022_21:52:58,36430344,3D Homes Icon3D Tour
3034 Hudson St,Baltimore,MD,21224,"$305,000",2,1,"1,332",39.282516,-76.57309,Townhouse for sale,https://www.zillow.com/homedetails/3034-Hudson-St-Baltimore-MD-21224/36432263_zpid/,06-23-2022_21:52:58,36432263,1 day on Zillow
711 S Robinson St,Baltimore,MD,21224,"$415,000",4,4,"1,702",39.283867,-76.57189,Townhouse for sale,https://www.zillow.com/homedetails/711-S-Robinson-St-Baltimore-MD-21224/36433298_zpid/,06-23-2022_21:52:58,36433298,Open: Sat. 11am-1pm
116 S Curley St,Baltimore,MD,21224,"$425,000",3,3,"1,599",39.2907,-76.575554,Townhouse for sale,https://www.zillow.com/homedetails/116-S-Curley-St-Baltimore-MD-21224/36433690_zpid/,06-23-2022_21:52:58,36433690,Open: Sat. 12-2pm
133 E West St,Baltimore,MD,21230,"$365,000",3,3,"2,449",39.275963,-76.610886,Townhouse for sale,https://www.zillow.com/homedetails/133-E-West-St-Baltimore-MD-21230/36538983_zpid/,06-23-2022_21:52:58,36538983,1 day on Zillow
1271 William St,Baltimore,MD,21230,"$375,000",2,2,"2,549",39.274784,-76.61009,Townhouse for sale,https://www.zillow.com/homedetails/1271-William-St-Baltimore-MD-21230/36539406_zpid/,06-23-2022_21:52:58,36539406,Open: Sun. 12-2pm
100 Harborview Dr UNIT 204,Baltimore,MD,21230,"$250,000",2,2,"1,447",39.279404,-76.604355,Condo for sale,https://www.zillow.com/homedetails/100-Harborview-Dr-UNIT-204-Baltimore-MD-21230/36542361_zpid/,06-23-2022_21:52:58,36542361,1 day on Zillow
2855 Maudlin Ave,Baltimore,MD,21230,"$215,000",3,2,"1,774",39.260654,-76.65506,House for sale,https://www.zillow.com/homedetails/2855-Maudlin-Ave-Baltimore-MD-21230/36546407_zpid/,06-23-2022_21:52:58,36546407,1 day on Zillow
507 Annabel Ave,Baltimore,MD,21225,"$159,900",3,1,"1,040",39.237534,-76.60308,Townhouse for sale,https://www.zillow.com/homedetails/507-Annabel-Ave-Baltimore-MD-21225/36551323_zpid/,06-23-2022_21:52:58,36551323,1 day on Zillow
929 S Bouldin St,Baltimore,MD,21224,"$259,900",2,1,"1,156",39.28178,-76.57023,Townhouse for sale,https://www.zillow.com/homedetails/929-S-Bouldin-St-Baltimore-MD-21224/36558505_zpid/,06-23-2022_21:52:58,36558505,1 day on Zillow
705 S Highland Ave,Baltimore,MD,21224,"$229,900",2,2,"1,701",39.284092,-76.56861,Townhouse for sale,https://www.zillow.com/homedetails/705-S-Highland-Ave-Baltimore-MD-21224/36559095_zpid/,06-23-2022_21:52:58,36559095,1 day on Zillow
3417 Hudson St,Baltimore,MD,21224,"$320,000",2,2,"1,234",39.28231,-76.56825,Townhouse for sale,https://www.zillow.com/homedetails/3417-Hudson-St-Baltimore-MD-21224/36559220_zpid/,06-23-2022_21:52:58,36559220,Open: Sun. 11am-1pm
821 S Dean St,Baltimore,MD,21224,"$450,000",3,2,"1,618",39.282936,-76.56574,Townhouse for sale,https://www.zillow.com/homedetails/821-S-Dean-St-Baltimore-MD-21224/36559355_zpid/,06-23-2022_21:52:58,36559355,1 day on Zillow
349 Ilchester Ave,Baltimore,MD,21218,"$140,000",3,1,"1,244",39.322613,-76.611275,Townhouse for sale,https://www.zillow.com/homedetails/349-Ilchester-Ave-Baltimore-MD-21218/36475918_zpid/,06-23-2022_21:52:58,36475918,2 days on Zillow
2526 Francis St,Baltimore,MD,21217,"$139,000",3,2,"1,120",39.313168,-76.64282,Townhouse for sale,https://www.zillow.com/homedetails/2526-Francis-St-Baltimore-MD-21217/36481621_zpid/,06-23-2022_21:52:58,36481621,2 days on Zillow
3862 Quarry Ave,Baltimore,MD,21211,"$336,000",3,3,"1,736",39.335102,-76.63774,Townhouse for sale,https://www.zillow.com/homedetails/3862-Quarry-Ave-Baltimore-MD-21211/36486111_zpid/,06-23-2022_21:52:58,36486111,2 days on Zillow
2306 Poplar Grove St,Baltimore,MD,21216,"$100,000",3,2,"1,280",39.313705,-76.66632,Townhouse for sale,https://www.zillow.com/homedetails/2306-Poplar-Grove-St-Baltimore-MD-21216/36490578_zpid/,06-23-2022_21:52:58,36490578,2 days on Zillow
2810 Keyworth Ave,Baltimore,MD,21215,"$210,000",3,2,"1,800",39.332516,-76.66398,Townhouse for sale,https://www.zillow.com/homedetails/2810-Keyworth-Ave-Baltimore-MD-21215/36502023_zpid/,06-23-2022_21:52:58,36502023,Open: Sat. 12-4pm
3200 Westmont Ave,Baltimore,MD,21216,"$175,000",3,2,"1,280",39.301575,-76.67004,Townhouse for sale,https://www.zillow.com/homedetails/3200-Westmont-Ave-Baltimore-MD-21216/36512573_zpid/,06-23-2022_21:52:58,36512573,Open: Sun. 12-3pm
2100 Eagle St,Baltimore,MD,21223,"$5.0,000",3,1,--,39.280594,-76.64925,Auction,https://www.zillow.com/homedetails/2100-Eagle-St-Baltimore-MD-21223/36527056_zpid/,06-23-2022_21:52:58,36527056,2 days on Zillow
1106 W Cross St,Baltimore,MD,21230,"$150,000",3,2,976,39.28158,-76.63046,Townhouse for sale,https://www.zillow.com/homedetails/1106-W-Cross-St-Baltimore-MD-21230/36534235_zpid/,06-23-2022_21:52:58,36534235,2 days on Zillow
715 Portland St,Baltimore,MD,21230,"$224,900",2,1,"1,172",39.285,-76.62622,Townhouse for sale,https://www.zillow.com/homedetails/715-Portland-St-Baltimore-MD-21230/36535670_zpid/,06-23-2022_21:52:58,36535670,2 days on Zillow
3200 Loch Raven Blvd,Baltimore,MD,21218,"$135,000",3,3,"1,158",39.325016,-76.60055,Townhouse for sale,https://www.zillow.com/homedetails/3200-Loch-Raven-Blvd-Baltimore-MD-21218/36458167_zpid/,06-23-2022_21:52:58,36458167,3 days on Zillow
908 N Central Ave,Baltimore,MD,21202,"$168,900",3,1,"1,924",39.30078,-76.60045,Townhouse for sale,https://www.zillow.com/homedetails/908-N-Central-Ave-Baltimore-MD-21202/36468846_zpid/,06-23-2022_21:52:58,36468846,3 days on Zillow
1101 Saint Paul St UNIT 1910,Baltimore,MD,21202,"$249,900",2,2,"1,196",39.302654,-76.61418,Condo for sale,https://www.zillow.com/homedetails/1101-Saint-Paul-St-UNIT-1910-Baltimore-MD-21202/36470305_zpid/,06-23-2022_21:52:58,36470305,3 days on Zillow
2808 Huntingdon Ave,Baltimore,MD,21211,"$215,000",3,2,"1,348",39.320744,-76.62314,Townhouse for sale,https://www.zillow.com/homedetails/2808-Huntingdon-Ave-Baltimore-MD-21211/36471997_zpid/,06-23-2022_21:52:58,36471997,3 days on Zillow
