address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,listing_id,list_url,date_scraped
40 Temple St,Boston,MA,02114,"$949,000",3,3,"2,160",42.36017,-71.06345,House for sale,59180421,https://www.zillow.com/homedetails/40-Temple-St-Boston-MA-02114/59180421_zpid/,06-10-2022_19:28:53
32-32-32A Tremont St,Charlestown,MA,02129,"$1,299,900",6,3,"2,981",42.37641,-71.05881,Multi-family home for sale,2062907041,https://www.zillow.com/homedetails/32-32-32A-Tremont-St-Charlestown-MA-02129/2062907041_zpid/,06-10-2022_19:28:53
92 Beacon St APT 53,Boston,MA,02108,"$1,250,000",2,2,"1,137",42.355713,-71.07208,Condo for sale,59172489,https://www.zillow.com/homedetails/92-Beacon-St-APT-53-Boston-MA-02108/59172489_zpid/,06-10-2022_19:28:53
410 W Broadway UNIT 201,Boston,MA,02127,"$1,075,000",3,2,"1,215",42.345135,-71.06052,Condo for sale,2083913626,https://www.zillow.com/homedetails/410-W-Broadway-UNIT-201-Boston-MA-02127/2083913626_zpid/,06-10-2022_19:28:53
161 Cottage St #7,Boston,MA,02128,"$489,999",1,1,640,42.369846,-71.03266,Condo for sale,2062908625,https://www.zillow.com/homedetails/161-Cottage-St-7-Boston-MA-02128/2062908625_zpid/,06-10-2022_19:28:53
273 Gallivan Blvd #4,Dorchester Center,MA,02124,"$769,900",3,2,"1,544",42.27947,-71.06676,Condo for sale,2062910012,https://www.zillow.com/homedetails/273-Gallivan-Blvd-4-Dorchester-Center-MA-02124/2062910012_zpid/,06-10-2022_19:28:53
1 Franklin St UNIT 1408,Boston,MA,02110,"$2,050,000",2,2,"1,556",42.356316,-71.059555,Condo for sale,246886540,https://www.zillow.com/homedetails/1-Franklin-St-UNIT-1408-Boston-MA-02110/246886540_zpid/,06-10-2022_19:28:53
96 Waltham St #1,Boston,MA,02118,"$1,480,000",1,2,"1,731",42.343475,-71.07126,Townhouse for sale,2078714003,https://www.zillow.com/homedetails/96-Waltham-St-1-Boston-MA-02118/2078714003_zpid/,06-10-2022_19:28:53
67 Aldrich St,Roslindale,MA,02131,"$695,000",3,2,"1,704",42.284412,-71.141556,House for sale,59143382,https://www.zillow.com/homedetails/67-Aldrich-St-Roslindale-MA-02131/59143382_zpid/,06-10-2022_19:28:53
9 W Broadway UNIT 614,Boston,MA,02127,"$2,350,000",4,4,"2,603",42.34234,-71.05787,Condo for sale,2120606126,https://www.zillow.com/homedetails/9-W-Broadway-UNIT-614-Boston-MA-02127/2120606126_zpid/,06-10-2022_19:28:53
18 Regan Rd,Dorchester,MA,02124,"$789,900",3,2,"1,684",42.281635,-71.06763,House for sale,59116148,https://www.zillow.com/homedetails/18-Regan-Rd-Dorchester-MA-02124/59116148_zpid/,06-10-2022_19:28:53
464 Shawmut Ave #2,Boston,MA,02118,"$649,000",1,1,535,42.338757,-71.07556,Townhouse for sale,59211022,https://www.zillow.com/homedetails/464-Shawmut-Ave-2-Boston-MA-02118/59211022_zpid/,06-10-2022_19:28:53
68 Homes Single,Dorchester,MA,02122,"$669,900",3,3,"1,350",,,Condo for sale,2062922119,https://www.zillow.com/homedetails/68-Homes-Single-Dorchester-MA-02122/2062922119_zpid/,06-10-2022_19:28:53
68 Homes Ave,Boston,MA,02122,"$669,900",3,3,"1,350",42.302643,-71.071075,House for sale,59107574,https://www.zillow.com/homedetails/68-Homes-Ave-Boston-MA-02122/59107574_zpid/,06-10-2022_19:28:53
409 Commonwealth Ave #B,Boston,MA,02215,"$7,500,000",4,5,"4,600",,,Condo for sale,2063629706,https://www.zillow.com/homedetails/409-Commonwealth-Ave-B-Boston-MA-02215/2063629706_zpid/,06-10-2022_19:28:53
201 W Springfield St #3,Boston,MA,02118,"$999,000",1,2,"1,052",42.340336,-71.0801,Townhouse for sale,59183050,https://www.zillow.com/homedetails/201-W-Springfield-St-3-Boston-MA-02118/59183050_zpid/,06-10-2022_19:28:53
7 Cummings Rd APT 7,Brighton,MA,02135,"$649,000",2,2,985,42.340645,-71.14296,Condo for sale,2089651862,https://www.zillow.com/homedetails/7-Cummings-Rd-APT-7-Brighton-MA-02135/2089651862_zpid/,06-10-2022_19:28:53
119 Saint Botolph St #1,Boston,MA,02115,"$2,850,000",3,4,"2,228",42.3444,-71.08177,Condo for sale,2094601132,https://www.zillow.com/homedetails/119-Saint-Botolph-St-1-Boston-MA-02115/2094601132_zpid/,06-10-2022_19:28:53
240 Marlborough St APT 3B,Boston,MA,02116,"$680,000",1,1,529,42.351772,-71.08179,Condo for sale,59170340,https://www.zillow.com/homedetails/240-Marlborough-St-APT-3B-Boston-MA-02116/59170340_zpid/,06-10-2022_19:28:53
180 Commonwealth Ave APT 14,Boston,MA,02116,"$1,299,000",2,2,"1,035",42.351093,-71.07954,Condo for sale,59176661,https://www.zillow.com/homedetails/180-Commonwealth-Ave-APT-14-Boston-MA-02116/59176661_zpid/,06-10-2022_19:28:53
877 Harrison Ave APT 2,Roxbury,MA,02118,"$899,000",3,2,"1,600",42.33434,-71.07621,Condo for sale,63710221,https://www.zillow.com/homedetails/877-Harrison-Ave-APT-2-Roxbury-MA-02118/63710221_zpid/,06-10-2022_19:28:53
3 Constance Rd,West Roxbury,MA,02132,"$828,000",4,4,"2,503",42.276165,-71.16529,House for sale,63041836,https://www.zillow.com/homedetails/3-Constance-Rd-West-Roxbury-MA-02132/63041836_zpid/,06-10-2022_19:28:53
