address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,list_url,date_scraped,listing_id
3811 Picasso Ct,Charlotte,NC,28205,"$319,000",2,2,940,35.24804,-80.79697,Coming soon,https://www.zillow.com/homedetails/3811-Picasso-Ct-Charlotte-NC-28205/80470286_zpid/,06-23-2022_21:45:40,80470286
1922 Beverly Dr,Charlotte,NC,28207,"$1,595,000",3,3,"2,812",35.188007,-80.82863,House for sale,https://www.zillow.com/homedetails/1922-Beverly-Dr-Charlotte-NC-28207/6245877_zpid/,06-23-2022_21:45:40,6245877
4310 Raney Way,Charlotte,NC,28205,"$899,000",4,3,"2,139",35.198345,-80.78059,House for sale,https://www.zillow.com/homedetails/4310-Raney-Way-Charlotte-NC-28205/6250065_zpid/,06-23-2022_21:45:40,6250065
4326 Tillman Rd,Charlotte,NC,28208,"$199,000",3,1,988,35.259785,-80.89037,House for sale,https://www.zillow.com/homedetails/4326-Tillman-Rd-Charlotte-NC-28208/6175391_zpid/,06-23-2022_21:45:40,6175391
12926 Rothe House Rd,Charlotte,NC,28273,"$450,000",4,3,"2,517",35.092316,-80.98812,Coming soon,https://www.zillow.com/homedetails/12926-Rothe-House-Rd-Charlotte-NC-28273/80452968_zpid/,06-23-2022_21:45:40,80452968
13461 Calloway Glen Dr,Charlotte,NC,28273,"$265,000",2,3,"1,378",35.105705,-80.97781,Townhouse for sale,https://www.zillow.com/homedetails/13461-Calloway-Glen-Dr-Charlotte-NC-28273/65039628_zpid/,06-23-2022_21:45:40,65039628
162 Mellwood Dr,Charlotte,NC,28214,"$220,000",3,2,"1,355",35.299606,-80.93832,House for sale,https://www.zillow.com/homedetails/162-Mellwood-Dr-Charlotte-NC-28214/6149034_zpid/,06-23-2022_21:45:40,6149034
8905 Tendring Ct,Charlotte,NC,28215,"$349,000",3,3,"1,675",35.250465,-80.670494,Coming soon,https://www.zillow.com/homedetails/8905-Tendring-Ct-Charlotte-NC-28215/6217119_zpid/,06-23-2022_21:45:40,6217119
10623 Kempsford Dr,Charlotte,NC,28262,"$415,000",4,3,"2,935",35.329487,-80.706055,House for sale,https://www.zillow.com/homedetails/10623-Kempsford-Dr-Charlotte-NC-28262/83954062_zpid/,06-23-2022_21:45:40,83954062
4305 Duplin Dr,Charlotte,NC,28214,"$477,890",3,2,"1,835",35.231968,-81.00046,New construction,https://www.zillow.com/homedetails/4305-Duplin-Dr-Charlotte-NC-28214/2062713827_zpid/,06-23-2022_21:45:40,2062713827
4301 Duplin Dr,Charlotte,NC,28214,"$485,890",3,2,"1,835",35.231968,-81.00046,New construction,https://www.zillow.com/homedetails/4301-Duplin-Dr-Charlotte-NC-28214/2062713829_zpid/,06-23-2022_21:45:40,2062713829
4304 Duplin Dr,Charlotte,NC,28214,"$467,335",3,2,"1,648",35.231968,-81.00046,New construction,https://www.zillow.com/homedetails/4304-Duplin-Dr-Charlotte-NC-28214/2062713830_zpid/,06-23-2022_21:45:40,2062713830
2834 Clemson Ave,Charlotte,NC,28205,"$724,900",4,3,"2,561",35.239773,-80.80254,Coming soon,https://www.zillow.com/homedetails/2834-Clemson-Ave-Charlotte-NC-28205/6189019_zpid/,06-23-2022_21:45:40,6189019
4308 Duplin Dr,Charlotte,NC,28214,"$513,040",4,3,"2,208",35.231968,-81.00046,New construction,https://www.zillow.com/homedetails/4308-Duplin-Dr-Charlotte-NC-28214/2062713835_zpid/,06-23-2022_21:45:40,2062713835
4921 Patricia Ann Ln #108,Charlotte,NC,28269,"$417,000",3,3,"2,374",35.314243,-80.81522,House for sale,https://www.zillow.com/homedetails/4921-Patricia-Ann-Ln-108-Charlotte-NC-28269/2062661913_zpid/,06-23-2022_21:45:40,2062661913
4317 Duplin Dr,Charlotte,NC,28214,"$506,040",4,3,"2,208",35.22318,-81.001785,New construction,https://www.zillow.com/homedetails/4317-Duplin-Dr-Charlotte-NC-28214/2062661915_zpid/,06-23-2022_21:45:40,2062661915
10325 Haddington Dr NW,Charlotte,NC,28269,"$395,000",3,3,"1,832",35.39493,-80.75121,House for sale,https://www.zillow.com/homedetails/10325-Haddington-Dr-NW-Charlotte-NC-28269/61653039_zpid/,06-23-2022_21:45:40,61653039
9319 Deer Spring Ln,Charlotte,NC,28210,"$750,000",4,4,"2,841",35.10319,-80.8563,House for sale,https://www.zillow.com/homedetails/9319-Deer-Spring-Ln-Charlotte-NC-28210/6293584_zpid/,06-23-2022_21:45:40,6293584
1914 Dembrigh Ln,Charlotte,NC,28262,"$395,000",4,3,"2,064",35.31799,-80.70735,Coming soon,https://www.zillow.com/homedetails/1914-Dembrigh-Ln-Charlotte-NC-28262/6165455_zpid/,06-23-2022_21:45:40,6165455
2801 Flintridge Dr,Charlotte,NC,28212,"$310,000",3,2,"1,134",35.183804,-80.74319,House for sale,https://www.zillow.com/homedetails/2801-Flintridge-Dr-Charlotte-NC-28212/6251678_zpid/,06-23-2022_21:45:40,6251678
3754 Speer Blvd,Charlotte,NC,28217,"$439,000",3,3,"2,370",35.18379,-80.910126,Townhouse for sale,https://www.zillow.com/homedetails/3754-Speer-Blvd-Charlotte-NC-28217/300207496_zpid/,06-23-2022_21:45:40,300207496
11700 Laurel Grove Ln,Charlotte,NC,28226,"$399,000",3,2,"1,517",35.077217,-80.843796,House for sale,https://www.zillow.com/homedetails/11700-Laurel-Grove-Ln-Charlotte-NC-28226/6310799_zpid/,06-23-2022_21:45:40,6310799
4810 Rounding Run Rd,Charlotte,NC,28277,"$850,000",4,5,"3,775",35.083473,-80.79201,House for sale,https://www.zillow.com/homedetails/4810-Rounding-Run-Rd-Charlotte-NC-28277/6317835_zpid/,06-23-2022_21:45:40,6317835
7227 Bedfordshire Dr,Charlotte,NC,28226,"$649,900",5,3,"2,747",35.112625,-80.79372,Coming soon,https://www.zillow.com/homedetails/7227-Bedfordshire-Dr-Charlotte-NC-28226/6294781_zpid/,06-23-2022_21:45:40,6294781
6620 Glenmoor Dr,Charlotte,NC,28214,"$295,000",4,2,"1,816",35.267277,-80.94305,House for sale,https://www.zillow.com/homedetails/6620-Glenmoor-Dr-Charlotte-NC-28214/6169466_zpid/,06-23-2022_21:45:40,6169466
