address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,listing_id,list_url,date_scraped
2510 S Blue Island Ave,Chicago,IL,60608,"$499,900",5,3,--,41.847115,-87.68026,New,2062899956,https://www.zillow.com/homedetails/2510-S-Blue-Island-Ave-Chicago-IL-60608/2062899956_zpid/,06-10-2022_19:19:22
5433 S Damen Ave,Chicago,IL,60609,"$299,900",6,2,--,41.79477,-87.673935,New,2093954463,https://www.zillow.com/homedetails/5433-S-Damen-Ave-Chicago-IL-60609/2093954463_zpid/,06-10-2022_19:19:22
3619 W Byron St APT 1,Chicago,IL,60618,"$225,000",2,1,800,41.951797,-87.71863,New,2075760283,https://www.zillow.com/homedetails/3619-W-Byron-St-APT-1-Chicago-IL-60618/2075760283_zpid/,06-10-2022_19:19:22
747 N Hoyne Ave,Chicago,IL,60612,"$470,000",5,2,--,41.89547,-87.67928,Price Change,2118405221,https://www.zillow.com/homedetails/747-N-Hoyne-Ave-Chicago-IL-60612/2118405221_zpid/,06-10-2022_19:19:22
1538 W 19th St,Chicago,IL,60608,"$779,000",8,3,--,41.85626,-87.66526,New,2099170648,https://www.zillow.com/homedetails/1538-W-19th-St-Chicago-IL-60608/2099170648_zpid/,06-10-2022_19:19:22
4149 S Rockwell St,Chicago,IL,60632,"$330,000",5,2,"1,045",41.81782,-87.68924,New,3913570,https://www.zillow.com/homedetails/4149-S-Rockwell-St-Chicago-IL-60632/3913570_zpid/,06-10-2022_19:19:22
450 E Waterside Dr UNIT 301,Chicago,IL,60601,"$639,000",2,2,"1,153",41.887093,-87.61538,New,89923055,https://www.zillow.com/homedetails/450-E-Waterside-Dr-UNIT-301-Chicago-IL-60601/89923055_zpid/,06-10-2022_19:19:22
8518 S Exchange Ave,Chicago,IL,60617,"$168,900",6,2,"1,800",41.740395,-87.553055,New,4028458,https://www.zillow.com/homedetails/8518-S-Exchange-Ave-Chicago-IL-60617/4028458_zpid/,06-10-2022_19:19:22
2715 W Bryn Mawr Ave,Chicago,IL,60659,"$789,000",5,5,"4,200",41.982864,-87.69741,New,80828891,https://www.zillow.com/homedetails/2715-W-Bryn-Mawr-Ave-Chicago-IL-60659/80828891_zpid/,06-10-2022_19:19:22
4829 S Prairie Ave APT 4,Chicago,IL,60615,"$200,000",3,3,--,41.806705,-87.61908,New,80826655,https://www.zillow.com/homedetails/4829-S-Prairie-Ave-APT-4-Chicago-IL-60615/80826655_zpid/,06-10-2022_19:19:22
6554 N Ridge Blvd #2,Chicago,IL,60626,"$199,900",2,1,--,42.00147,-87.679375,New,3572990,https://www.zillow.com/homedetails/6554-N-Ridge-Blvd-2-Chicago-IL-60626/3572990_zpid/,06-10-2022_19:19:22
1000 E 53rd St UNIT 405,Chicago,IL,60615,"$260,000",2,2,--,41.800056,-87.60134,New,65576246,https://www.zillow.com/homedetails/1000-E-53rd-St-UNIT-405-Chicago-IL-60615/65576246_zpid/,06-10-2022_19:19:22
3832 S Emerald Ave,Chicago,IL,60609,"$799,900",4,4,"3,200",41.824253,-87.64508,New,253276035,https://www.zillow.com/homedetails/3832-S-Emerald-Ave-Chicago-IL-60609/253276035_zpid/,06-10-2022_19:19:22
