address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,list_url,date_scraped,listing_id,listing_time
2009 Nantucket Dr,Houston,TX,77057,"$600,000",3,3,"2,875",29.746414,-95.48711,House for sale,https://www.zillow.com/homedetails/2009-Nantucket-Dr-Houston-TX-77057/27944660_zpid/,06-23-2022_21:17:09,27944660,12 minutes ago
421 Cortlandt St UNIT B,Houston,TX,77007,"$680,000",3,3,"2,166",29.778702,-95.39539,House for sale,https://www.zillow.com/homedetails/421-Cortlandt-St-UNIT-B-Houston-TX-77007/58667958_zpid/,06-23-2022_21:17:09,58667958,37 minutes ago
5591 Beverly Hill St,Houston,TX,77056,"$589,000",3,3,"2,334",29.73008,-95.47585,Townhouse for sale,https://www.zillow.com/homedetails/5591-Beverly-Hill-St-Houston-TX-77056/2062744864_zpid/,06-23-2022_21:17:09,2062744864,38 minutes ago
3907 Luca St,Houston,TX,77021,"$170,000",3,1,"1,309",29.696735,-95.35996,House for sale,https://www.zillow.com/homedetails/3907-Luca-St-Houston-TX-77021/27935763_zpid/,06-23-2022_21:17:09,27935763,50 minutes ago
815 W Main St,Houston,TX,77006,"$570,000",3,2,"1,520",29.73595,-95.38947,House for sale,https://www.zillow.com/homedetails/815-W-Main-St-Houston-TX-77006/62580759_zpid/,06-23-2022_21:17:09,62580759,3D Homes Icon3D Tour
4041 Law APT 401,Houston,TX,77005,"$239,000",2,2,"1,042",29.724388,-95.44207,Condo for sale,https://www.zillow.com/homedetails/4041-Law-APT-401-Houston-TX-77005/68414971_zpid/,06-23-2022_21:17:09,68414971,59 minutes ago
13131 Hollowcreek Park Dr,Houston,TX,77082,"$229,990",3,3,"1,975",29.723082,-95.62095,House for sale,https://www.zillow.com/homedetails/13131-Hollowcreek-Park-Dr-Houston-TX-77082/28276208_zpid/,06-23-2022_21:17:09,28276208,3D Homes Icon3D Tour
11863 Keystone Spring Way,Houston,TX,77089,"$259,999",3,3,"1,575",29.576574,-95.20066,House for sale,https://www.zillow.com/homedetails/11863-Keystone-Spring-Way-Houston-TX-77089/80515429_zpid/,06-23-2022_21:17:09,80515429,1 hour ago
8908 Aventino Way,Houston,TX,77080,"$391,500",3,3,"2,175",29.80638,-95.510185,House for sale,https://www.zillow.com/homedetails/8908-Aventino-Way-Houston-TX-77080/161438348_zpid/,06-23-2022_21:17:09,161438348,3D Homes Icon3D Tour
4931 Yarwell Dr,Houston,TX,77096,"$849,000",4,3,"3,280",29.673403,-95.46308,House for sale,https://www.zillow.com/homedetails/4931-Yarwell-Dr-Houston-TX-77096/28046853_zpid/,06-23-2022_21:17:09,28046853,Open: Sat. 11am-1pm
4842 Winfree Dr,Houston,TX,77021,"$240,000",3,1,"1,422",29.701403,-95.34179,House for sale,https://www.zillow.com/homedetails/4842-Winfree-Dr-Houston-TX-77021/27892046_zpid/,06-23-2022_21:17:09,27892046,3 hours ago
111 Glynn Way Dr,Houston,TX,77056,"$1,475,000",3,4,"3,358",29.769089,-95.468254,Townhouse for sale,https://www.zillow.com/homedetails/111-Glynn-Way-Dr-Houston-TX-77056/28129349_zpid/,06-23-2022_21:17:09,28129349,3 hours ago
7723 Antoine Dr,Houston,TX,77088,"$250,000",4,3,"2,400",29.876883,-95.47415,House for sale,https://www.zillow.com/homedetails/7723-Antoine-Dr-Houston-TX-77088/84064454_zpid/,06-23-2022_21:17:09,84064454,3 hours ago
735 Langwood Dr,Houston,TX,77079,"$641,000",5,3,"2,705",29.77642,-95.62255,House for sale,https://www.zillow.com/homedetails/735-Langwood-Dr-Houston-TX-77079/28120299_zpid/,06-23-2022_21:17:09,28120299,Open: Sat. 11am-1pm
15002 Moss Boulder Ct,Houston,TX,77084,"$325,000",3,3,"2,708",29.878326,-95.63324,House for sale,https://www.zillow.com/homedetails/15002-Moss-Boulder-Ct-Houston-TX-77084/28529366_zpid/,06-23-2022_21:17:09,28529366,Open: Sat. 10am-1pm
915 E Heights Hollow Ln,Houston,TX,77007,"$374,900",2,2,"1,644",29.768251,-95.38963,Townhouse for sale,https://www.zillow.com/homedetails/915-E-Heights-Hollow-Ln-Houston-TX-77007/68409653_zpid/,06-23-2022_21:17:09,68409653,Open: Sun. 12-2pm
