address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,listing_id,list_url,date_scraped
353 E Bonneville Ave UNIT 729,Las Vegas,NV,89101,"$700,000",2,2,"1,338",36.16363,-115.146545,Condo for sale,87746463,https://www.zillow.com/homedetails/353-E-Bonneville-Ave-UNIT-729-Las-Vegas-NV-89101/87746463_zpid/,06-10-2022_19:30:32
5210 Pat Pl,Las Vegas,NV,89118,"$399,900",3,3,"1,480",36.094612,-115.21889,House for sale,7143288,https://www.zillow.com/homedetails/5210-Pat-Pl-Las-Vegas-NV-89118/7143288_zpid/,06-10-2022_19:30:32
5002 W Moberly Ave,Las Vegas,NV,89139,"$455,000",4,3,"2,444",36.048103,-115.209404,House for sale,89024984,https://www.zillow.com/homedetails/5002-W-Moberly-Ave-Las-Vegas-NV-89139/89024984_zpid/,06-10-2022_19:30:32
420 Anchor St,Las Vegas,NV,89110,"$349,900",3,2,"1,250",36.16895,-115.09253,House for sale,7036026,https://www.zillow.com/homedetails/420-Anchor-St-Las-Vegas-NV-89110/7036026_zpid/,06-10-2022_19:30:32
4809 Cannon Cir,Las Vegas,NV,89108,"$299,900",2,1,"1,040",36.181213,-115.207184,House for sale,6958845,https://www.zillow.com/homedetails/4809-Cannon-Cir-Las-Vegas-NV-89108/6958845_zpid/,06-10-2022_19:30:32
122 Serpens Ave,Las Vegas,NV,89183,"$596,000",3,3,"2,323",35.984474,-115.16723,House for sale,145618446,https://www.zillow.com/homedetails/122-Serpens-Ave-Las-Vegas-NV-89183/145618446_zpid/,06-10-2022_19:30:32
7327 Durand Park St,Las Vegas,NV,89166,"$915,000",3,4,"3,148",36.294006,-115.32979,House for sale,141709110,https://www.zillow.com/homedetails/7327-Durand-Park-St-Las-Vegas-NV-89166/141709110_zpid/,06-10-2022_19:30:32
7840 Dappled Light Ave,Las Vegas,NV,89131,"$395,000",3,2,"1,296",36.300808,-115.26636,House for sale,58459320,https://www.zillow.com/homedetails/7840-Dappled-Light-Ave-Las-Vegas-NV-89131/58459320_zpid/,06-10-2022_19:30:32
8640 Desert Holly Dr,Las Vegas,NV,89134,"$458,700",2,2,"1,332",36.209557,-115.28333,Townhouse for sale,6941316,https://www.zillow.com/homedetails/8640-Desert-Holly-Dr-Las-Vegas-NV-89134/6941316_zpid/,06-10-2022_19:30:32
725 Middle Beach St,Las Vegas,NV,89138,"$1,300,000",5,4,"3,539",36.164074,-115.36663,House for sale,123490445,https://www.zillow.com/homedetails/725-Middle-Beach-St-Las-Vegas-NV-89138/123490445_zpid/,06-10-2022_19:30:32
3940 Irvin Ave,Las Vegas,NV,89141,"$580,000",4,3,"2,460",35.993626,-115.191505,House for sale,55569389,https://www.zillow.com/homedetails/3940-Irvin-Ave-Las-Vegas-NV-89141/55569389_zpid/,06-10-2022_19:30:32
6560 Bush Clover Ln,Las Vegas,NV,89156,"$370,000",3,2,"1,453",36.199036,-115.03008,House for sale,7026761,https://www.zillow.com/homedetails/6560-Bush-Clover-Ln-Las-Vegas-NV-89156/7026761_zpid/,06-10-2022_19:30:32
8830 Star Canyon Way,Las Vegas,NV,89123,"$620,000",4,3,"2,313",36.02925,-115.14262,House for sale,7167660,https://www.zillow.com/homedetails/8830-Star-Canyon-Way-Las-Vegas-NV-89123/7167660_zpid/,06-10-2022_19:30:32
405 N Lamb Blvd APT F,Las Vegas,NV,89110,"$169,900",1,1,599,36.167625,-115.08117,Townhouse for sale,2076871191,https://www.zillow.com/homedetails/405-N-Lamb-Blvd-APT-F-Las-Vegas-NV-89110/2076871191_zpid/,06-10-2022_19:30:32
8390 S Miller Ln LOT 70,Las Vegas,NV,89113,"$587,990",5,3,"2,988",36.04595,-115.263054,House for sale,2062909400,https://www.zillow.com/homedetails/8390-S-Miller-Ln-LOT-70-Las-Vegas-NV-89113/2062909400_zpid/,06-10-2022_19:30:32
