address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,listing_id,list_url,date_scraped
5920 SW 6th St,Miami,FL,33144,"$469,000",2,1,"1,028",25.764656,-80.29199,House for sale,43835375,https://www.zillow.com/homedetails/5920-SW-6th-St-Miami-FL-33144/43835375_zpid/,06-10-2022_19:21:10
1620 SW 1st St APT 17,Miami,FL,33135,"$179,000",2,1,690,25.77197,-80.22175,Condo for sale,43837933,https://www.zillow.com/homedetails/1620-SW-1st-St-APT-17-Miami-FL-33135/43837933_zpid/,06-10-2022_19:21:10
540 Brickell Key Dr APT 616,Miami,FL,33131,"$315,000",1,1,650,25.767958,-80.18388,Condo for sale,43872825,https://www.zillow.com/homedetails/540-Brickell-Key-Dr-APT-616-Miami-FL-33131/43872825_zpid/,06-10-2022_19:21:10
1331 Brickell Bay Dr PENTHOUSE 4605,Miami,FL,33131,"$6,250,000",4,5,"3,860",25.7601,-80.18993,Condo for sale,64763562,https://www.zillow.com/homedetails/1331-Brickell-Bay-Dr-PENTHOUSE-4605-Miami-FL-33131/64763562_zpid/,06-10-2022_19:21:10
3508 NW 19th Ter,Miami,FL,33125,"$670,000",4,2,"1,675",25.793001,-80.25271,House for sale,43822060,https://www.zillow.com/homedetails/3508-NW-19th-Ter-Miami-FL-33125/43822060_zpid/,06-10-2022_19:21:10
1530 SW 2nd St APT 103,Miami,FL,33135,"$149,000",1,1,550,25.771091,-80.220215,Condo for sale,43837993,https://www.zillow.com/homedetails/1530-SW-2nd-St-APT-103-Miami-FL-33135/43837993_zpid/,06-10-2022_19:21:10
1230 NE 83rd St,Miami,FL,33138,"$2,800,000",4,3,"2,610",25.851746,-80.173164,House for sale,43828459,https://www.zillow.com/homedetails/1230-NE-83rd-St-Miami-FL-33138/43828459_zpid/,06-10-2022_19:21:10
3801 Coco Grove Ave,Miami,FL,33133,"$2,750,000",,,"10,454",25.721138,-80.25468,Lot / Land for sale,43860264,https://www.zillow.com/homedetails/3801-Coco-Grove-Ave-Miami-FL-33133/43860264_zpid/,06-10-2022_19:21:10
2400-2402 NW 11th St,Miami,FL,33125,"$415,000",2,2,"1,120",25.78314,-80.234215,House for sale,2062905708,https://www.zillow.com/homedetails/2400-2402-NW-11th-St-Miami-FL-33125/2062905708_zpid/,06-10-2022_19:21:10
950 Brickell Bay Dr APT 3108,Miami,FL,33131,"$550,000",1,1,628,25.765005,-80.19016,Condo for sale,92444539,https://www.zillow.com/homedetails/950-Brickell-Bay-Dr-APT-3108-Miami-FL-33131/92444539_zpid/,06-10-2022_19:21:10
