address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,list_url,date_scraped
3749 Brickmont Dr,Nashville,TN,37207,"$319,900",3,2,"1,211",36.246445,-86.76923,Coming soon,https://www.zillow.com/homedetails/3749-Brickmont-Dr-Nashville-TN-37207/41063317_zpid/,06-23-2022_21:37:39
8105 Bonnafair Dr,Hermitage,TN,37076,"$549,900",4,3,"2,377",36.20903,-86.63382,Coming soon,https://www.zillow.com/homedetails/8105-Bonnafair-Dr-Hermitage-TN-37076/41091544_zpid/,06-23-2022_21:37:39
915 Debow St,Old Hickory,TN,37138,"$424,900",3,2,"1,300",36.260956,-86.64879,Coming soon,https://www.zillow.com/homedetails/915-Debow-St-Old-Hickory-TN-37138/41061384_zpid/,06-23-2022_21:37:39
609 Bell Trace Cir,Antioch,TN,37013,"$349,900",3,2,"1,446",36.041412,-86.671196,Coming soon,https://www.zillow.com/homedetails/609-Bell-Trace-Cir-Antioch-TN-37013/41199564_zpid/,06-23-2022_21:37:39
713 McPherson Dr,Nashville,TN,37221,"$299,000",3,2,"1,092",36.06164,-86.934235,Coming soon,https://www.zillow.com/homedetails/713-McPherson-Dr-Nashville-TN-37221/81061840_zpid/,06-23-2022_21:37:39
602 McPherson Ct S,Nashville,TN,37221,"$299,000",3,2,"1,092",36.061592,-86.93426,Coming soon,https://www.zillow.com/homedetails/602-McPherson-Ct-S-Nashville-TN-37221/81065648_zpid/,06-23-2022_21:37:39
5613 Dory Dr,Antioch,TN,37013,"$360,000",3,2,"1,664",36.066566,-86.58219,Coming soon,https://www.zillow.com/homedetails/5613-Dory-Dr-Antioch-TN-37013/71268844_zpid/,06-23-2022_21:37:39
103 Dinwiddie Ct,Madison,TN,37115,"$387,000",3,2,"1,900",36.28469,-86.70006,Coming soon,https://www.zillow.com/homedetails/103-Dinwiddie-Ct-Madison-TN-37115/41055253_zpid/,06-23-2022_21:37:39
610 Poplar Valley Ct,Nashville,TN,37221,"$384,900",3,3,"2,250",36.07404,-86.979744,Coming soon,https://www.zillow.com/homedetails/610-Poplar-Valley-Ct-Nashville-TN-37221/41167685_zpid/,06-23-2022_21:37:39
4410 Lone Oak Rd,Nashville,TN,37215,"$1,200,000",4,4,"3,093",36.095028,-86.807625,House for sale,https://www.zillow.com/homedetails/4410-Lone-Oak-Rd-Nashville-TN-37215/108785644_zpid/,06-23-2022_21:37:39
1509 Sprucedale Dr,Antioch,TN,37013,"$279,000",2,3,"1,104",36.035786,-86.6171,Townhouse for sale,https://www.zillow.com/homedetails/1509-Sprucedale-Dr-Antioch-TN-37013/108790205_zpid/,06-23-2022_21:37:39
