address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,list_url,date_scraped,listing_id,listing_time
14901 Dalea Drive,Oklahoma City,OK,73142,"$485,000",,,,35.621975,-97.61316,Lot / Land for sale,https://www.zillow.com/homedetails/14901-Dalea-Dr-Oklahoma-City-OK-73142/2098215251_zpid/,06-23-2022_21:41:29,2098215251,51 minutes ago
3917 NW 60th Street,Oklahoma City,OK,73112,"$299,900",3,2,"2,112",35.533714,-97.58862,House for sale,https://www.zillow.com/homedetails/3917-NW-60th-St-Oklahoma-City-OK-73112/21962651_zpid/,06-23-2022_21:41:29,21962651,1 hour ago
9209 Lakecrest Drive,Oklahoma City,OK,73159,"$249,900",3,2,"1,810",35.374737,-97.56298,House for sale,https://www.zillow.com/homedetails/9209-Lakecrest-Dr-Oklahoma-City-OK-73159/21757744_zpid/,06-23-2022_21:41:29,21757744,1 hour ago
9309 SW 34th Street,Oklahoma City,OK,73179,"$554,900",5,4,"3,120",35.429844,-97.650764,House for sale,https://www.zillow.com/homedetails/9309-SW-34th-St-Oklahoma-City-OK-73179/337714706_zpid/,06-23-2022_21:41:29,337714706,2 hours ago
6418 Galaxie Terrace,Oklahoma City,OK,73132,"$135,000",2,2,"1,134",35.538437,-97.63113,Townhouse for sale,https://www.zillow.com/homedetails/6418-Galaxie-Ter-Oklahoma-City-OK-73132/21978697_zpid/,06-23-2022_21:41:29,21978697,2 hours ago
834 SW 52nd Street,Oklahoma City,OK,73109,"$124,900",2,1,922,35.412865,-97.529495,House for sale,https://www.zillow.com/homedetails/834-SW-52nd-St-Oklahoma-City-OK-73109/21868466_zpid/,06-23-2022_21:41:29,21868466,2 hours ago
13521 Stonedale Drive,Oklahoma City,OK,73142,"$405,000",4,3,"2,131",35.607594,-97.66384,House for sale,https://www.zillow.com/homedetails/13521-Stonedale-Dr-Oklahoma-City-OK-73142/305785065_zpid/,06-23-2022_21:41:29,305785065,Open: Sun. 2-4pm
7500 S Council Road,Oklahoma City,OK,73169,"$295,000",4,2,"1,793",35.390972,-97.653076,House for sale,https://www.zillow.com/homedetails/7500-S-Council-Rd-Oklahoma-City-OK-73169/21957594_zpid/,06-23-2022_21:41:29,21957594,3 hours ago
8504 SW 76th Street,Oklahoma City,OK,73169,"$210,000",3,2,"1,732",35.38878,-97.663506,House for sale,https://www.zillow.com/homedetails/8504-SW-76th-St-Oklahoma-City-OK-73169/21965736_zpid/,06-23-2022_21:41:29,21965736,Open: Sat. 2-4pm
12100 Preakness Road,Oklahoma City,OK,73173,"$309,900",3,2,"1,750",35.347042,-97.60753,House for sale,https://www.zillow.com/homedetails/12100-Preakness-Rd-Oklahoma-City-OK-73173/245289754_zpid/,06-23-2022_21:41:29,245289754,8 hours ago
2621 90th Place,Oklahoma City,OK,73159,"$165,000",3,2,"1,667",35.3763,-97.56051,House for sale,https://www.zillow.com/homedetails/2621-SW-90th-Pl-Oklahoma-City-OK-73159/21754974_zpid/,06-23-2022_21:41:29,21754974,8 hours ago
14411 N Pennsylvania Avenue UNIT 10F,Oklahoma City,OK,73134,"$135,000",2,3,"1,214",35.61733,-97.54967,Condo for sale,https://www.zillow.com/homedetails/14411-N-Pennsylvania-Ave-10F-Oklahoma-City-OK-73134/21922083_zpid/,06-23-2022_21:41:29,21922083,8 hours ago
7009 S DANNER Drive,Oklahoma City,OK,73159,"$108,000",3,2,"1,200",35.395218,-97.55939,House for sale,https://www.zillow.com/homedetails/7009-S-Danner-Dr-Oklahoma-City-OK-73159/21904938_zpid/,06-23-2022_21:41:29,21904938,9 hours ago
1401 Hamlet Road,Oklahoma City,OK,73159,"$245,000",3,2,"1,690",35.364914,-97.54176,House for sale,https://www.zillow.com/homedetails/1401-Hamlet-Rd-Oklahoma-City-OK-73159/21752179_zpid/,06-23-2022_21:41:29,21752179,9 hours ago
315 NW 20th Street,Oklahoma City,OK,73118,"$339,000",3,1,"1,707",35.490467,-97.518105,House for sale,https://www.zillow.com/homedetails/315-NW-20th-St-Oklahoma-City-OK-73103/21846498_zpid/,06-23-2022_21:41:29,21846498,9 hours ago
1622 Oxford Way,Oklahoma City,OK,73120,"$220,000",3,1,"1,200",35.56287,-97.54878,House for sale,https://www.zillow.com/homedetails/1622-Oxford-Way-Oklahoma-City-OK-73120/22020639_zpid/,06-23-2022_21:41:29,22020639,9 hours ago
228 NW 34th Street,Oklahoma City,OK,73118,"$362,000",3,2,"1,818",35.50421,-97.51689,House for sale,https://www.zillow.com/homedetails/228-NW-34th-St-Oklahoma-City-OK-73118/21848953_zpid/,06-23-2022_21:41:29,21848953,9 hours ago
1340 SW 60th Street,Oklahoma City,OK,73159,"$155,000",3,2,"1,300",35.40436,-97.54117,House for sale,https://www.zillow.com/homedetails/1340-SW-60th-St-Oklahoma-City-OK-73159/21872387_zpid/,06-23-2022_21:41:29,21872387,Open: Sat. 2-4pm
9305 SW 34th Street,Oklahoma City,OK,73179,"$508,800",4,4,"2,950",35.429844,-97.650764,House for sale,https://www.zillow.com/homedetails/9305-SW-34th-St-Oklahoma-City-OK-73179/337714703_zpid/,06-23-2022_21:41:29,337714703,1 day on Zillow
