address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,list_url,date_scraped,listing_id,listing_time
417 Mifflin St,Philadelphia,PA,19148,"$315,000",2,2,"1,136",39.924927,-75.15367,Townhouse for sale,https://www.zillow.com/homedetails/417-Mifflin-St-Philadelphia-PA-19148/10172741_zpid/,06-23-2022_21:18:45,10172741,1 day on Zillow
110 Christian St,Philadelphia,PA,19147,"$830,000",3,3,"2,434",39.93552,-75.14586,Townhouse for sale,https://www.zillow.com/homedetails/110-Christian-St-Philadelphia-PA-19147/10176901_zpid/,06-23-2022_21:18:45,10176901,1 day on Zillow
6207 Ellsworth St,Philadelphia,PA,19143,"$399,998",4,3,"1,996",39.947895,-75.248146,Townhouse for sale,https://www.zillow.com/homedetails/6207-Ellsworth-St-Philadelphia-PA-19143/10187576_zpid/,06-23-2022_21:18:45,10187576,"Price cut: $20,002 (Jun 24)"
4211 Parrish St,Philadelphia,PA,19104,"$159,999",2,1,"1,066",39.968037,-75.20844,Townhouse for sale,https://www.zillow.com/homedetails/4211-Parrish-St-Philadelphia-PA-19104/10200689_zpid/,06-23-2022_21:18:45,10200689,"Price cut: $20,001 (Jun 23)"
405 S 24th St,Philadelphia,PA,19146,"$899,000",4,2,"1,890",39.947155,-75.18019,Townhouse for sale,https://www.zillow.com/homedetails/405-S-24th-St-Philadelphia-PA-19146/10210872_zpid/,06-23-2022_21:18:45,10210872,Open: Sat. 12:30-2pm
207 E Willow Grove Ave,Philadelphia,PA,19118,"$575,000",5,3,"2,063",40.07322,-75.198616,House for sale,https://www.zillow.com/homedetails/207-E-Willow-Grove-Ave-Philadelphia-PA-19118/10212459_zpid/,06-23-2022_21:18:45,10212459,Open: Sat. 2:30-4pm
7613 Woolston Ave,Philadelphia,PA,19150,"$259,900",3,2,"1,224",40.06676,-75.16414,Townhouse for sale,https://www.zillow.com/homedetails/7613-Woolston-Ave-Philadelphia-PA-19150/10222724_zpid/,06-23-2022_21:18:45,10222724,1 day on Zillow
2012 W Cambria St,Philadelphia,PA,19132,"$85,000",3,1,"1,120",39.998127,-75.16394,Townhouse for sale,https://www.zillow.com/homedetails/2012-W-Cambria-St-Philadelphia-PA-19132/10223917_zpid/,06-23-2022_21:18:45,10223917,1 day on Zillow
3149 N Carlisle St,Philadelphia,PA,19132,"$80,000",3,1,840,40.001137,-75.15394,Townhouse for sale,https://www.zillow.com/homedetails/3149-N-Carlisle-St-Philadelphia-PA-19132/10224484_zpid/,06-23-2022_21:18:45,10224484,1 day on Zillow
3009 N Taney St,Philadelphia,PA,19132,"$20,000",,,634,40.001396,-75.17373,Lot / Land for sale,https://www.zillow.com/homedetails/3009-N-Taney-St-Philadelphia-PA-19132/10379775_zpid/,06-23-2022_21:18:45,10379775,1 day on Zillow
3441 Sunnyside Ave,Philadelphia,PA,19129,"$319,000",3,2,"1,260",40.012665,-75.188705,Townhouse for sale,https://www.zillow.com/homedetails/3441-Sunnyside-Ave-Philadelphia-PA-19129/10381950_zpid/,06-23-2022_21:18:45,10381950,Open: Sat. 12:30-2pm
713 Winton St,Philadelphia,PA,19148,"$199,500",2,1,840,39.92227,-75.158936,Townhouse for sale,https://www.zillow.com/homedetails/713-Winton-St-Philadelphia-PA-19148/10389341_zpid/,06-23-2022_21:18:45,10389341,1 day on Zillow
1219 Ritner St,Philadelphia,PA,19148,"$325,000",3,2,"1,617",39.920437,-75.16742,Townhouse for sale,https://www.zillow.com/homedetails/1219-Ritner-St-Philadelphia-PA-19148/10395627_zpid/,06-23-2022_21:18:45,10395627,1 day on Zillow
2718 S 10th St,Philadelphia,PA,19148,"$295,000",2,1,"1,080",39.915344,-75.16493,Townhouse for sale,https://www.zillow.com/homedetails/2718-S-10th-St-Philadelphia-PA-19148/10399014_zpid/,06-23-2022_21:18:45,10399014,1 day on Zillow
2713 S 63rd St,Philadelphia,PA,19142,"$100,000",3,1,"1,152",39.921486,-75.224365,Townhouse for sale,https://www.zillow.com/homedetails/2713-S-63rd-St-Philadelphia-PA-19142/10403441_zpid/,06-23-2022_21:18:45,10403441,1 day on Zillow
6532 Allman St,Philadelphia,PA,19142,"$175,000",3,2,"1,026",39.927876,-75.23844,Townhouse for sale,https://www.zillow.com/homedetails/6532-Allman-St-Philadelphia-PA-19142/10405702_zpid/,06-23-2022_21:18:45,10405702,1 day on Zillow
6503 Theodore St,Philadelphia,PA,19142,"$125,000",3,1,"1,024",39.921425,-75.22971,Townhouse for sale,https://www.zillow.com/homedetails/6503-Theodore-St-Philadelphia-PA-19142/10412303_zpid/,06-23-2022_21:18:45,10412303,1 day on Zillow
4600 Van Kirk St,Philadelphia,PA,19135,"$225,000",3,2,"1,200",40.017162,-75.062965,House for sale,https://www.zillow.com/homedetails/4600-Van-Kirk-St-Philadelphia-PA-19135/10415340_zpid/,06-23-2022_21:18:45,10415340,3D Homes Icon3D Tour
5126 Spruce St,Philadelphia,PA,19139,"$475,000",5,3,"1,984",39.954243,-75.22511,House for sale,https://www.zillow.com/homedetails/5126-Spruce-St-Philadelphia-PA-19139/10541039_zpid/,06-23-2022_21:18:45,10541039,Open: 7/2 11am-1pm
5817 Pine St,Philadelphia,PA,19143,"$150,000",4,1,"1,558",39.95526,-75.2387,Townhouse for sale,https://www.zillow.com/homedetails/5817-Pine-St-Philadelphia-PA-19143/10543794_zpid/,06-23-2022_21:18:45,10543794,1 day on Zillow
102 Rosemar St,Philadelphia,PA,19120,"$139,900",2,2,832,40.043365,-75.120415,Townhouse for sale,https://www.zillow.com/homedetails/102-Rosemar-St-Philadelphia-PA-19120/10546572_zpid/,06-23-2022_21:18:45,10546572,1 day on Zillow
409 W Olney Ave,Philadelphia,PA,19120,"$215,000",2,-,"1,392",40.036465,-75.129005,Multi-family home for sale,https://www.zillow.com/homedetails/409-W-Olney-Ave-Philadelphia-PA-19120/10548599_zpid/,06-23-2022_21:18:45,10548599,1 day on Zillow
5719 N Front St,Philadelphia,PA,19120,"$205,000",3,2,"1,362",40.037308,-75.120674,Townhouse for sale,https://www.zillow.com/homedetails/5719-N-Front-St-Philadelphia-PA-19120/10552378_zpid/,06-23-2022_21:18:45,10552378,1 day on Zillow
1165 E Sanger St,Philadelphia,PA,19124,"$199,900",3,1,"1,222",40.028828,-75.08192,Townhouse for sale,https://www.zillow.com/homedetails/1165-E-Sanger-St-Philadelphia-PA-19124/10553358_zpid/,06-23-2022_21:18:45,10553358,1 day on Zillow
1434 E Cheltenham Ave,Philadelphia,PA,19124,"$269,950",4,3,"1,635",40.029854,-75.081894,Townhouse for sale,https://www.zillow.com/homedetails/1434-E-Cheltenham-Ave-Philadelphia-PA-19124/10553499_zpid/,06-23-2022_21:18:45,10553499,Open: Sat. 12-2pm
1732 Scattergood St,Philadelphia,PA,19124,"$179,000",3,1,"1,304",40.020958,-75.07394,House for sale,https://www.zillow.com/homedetails/1732-Scattergood-St-Philadelphia-PA-19124/10558834_zpid/,06-23-2022_21:18:45,10558834,1 day on Zillow
2079 Scattergood St,Philadelphia,PA,19124,"$115,000",2,1,980,40.013912,-75.06974,Townhouse for sale,https://www.zillow.com/homedetails/2079-Scattergood-St-Philadelphia-PA-19124/10558954_zpid/,06-23-2022_21:18:45,10558954,1 day on Zillow
5924 Market St,Philadelphia,PA,19139,"$125,000",,,"1,336",39.96159,-75.23976,Lot / Land for sale,https://www.zillow.com/homedetails/5924-Market-St-Philadelphia-PA-19139/118367178_zpid/,06-23-2022_21:18:45,118367178,1 day on Zillow
271 W Indiana Ave,Philadelphia,PA,19133,"$125,000",,,756,39.996414,-75.13621,Lot / Land for sale,https://www.zillow.com/homedetails/271-W-Indiana-Ave-Philadelphia-PA-19133/118370579_zpid/,06-23-2022_21:18:45,118370579,1 day on Zillow
5633 Market St,Philadelphia,PA,19139,"$175,000",,,"1,728",39.961395,-75.23399,Lot / Land for sale,https://www.zillow.com/homedetails/5633-Market-St-Philadelphia-PA-19139/165089907_zpid/,06-23-2022_21:18:45,165089907,1 day on Zillow
2012 Lombard St,Philadelphia,PA,19146,"$1,350,000",4,4,"2,600",39.945732,-75.17535,Townhouse for sale,https://www.zillow.com/homedetails/2012-Lombard-St-Philadelphia-PA-19146/165205374_zpid/,06-23-2022_21:18:45,165205374,Open: Sun. 12-2pm
543 W Roosevelt Blvd,Philadelphia,PA,19120,"$219,000",-,-,"1,642",40.024097,-75.13459,Multi-family home for sale,https://www.zillow.com/homedetails/543-W-Roosevelt-Blvd-Philadelphia-PA-19120/165330857_zpid/,06-23-2022_21:18:45,165330857,1 day on Zillow
2481 Napfle St,Philadelphia,PA,19152,"$325,000",5,5,"3,236",40.05252,-75.051994,Multi-family home for sale,https://www.zillow.com/homedetails/2481-Napfle-St-Philadelphia-PA-19152/2062655456_zpid/,06-23-2022_21:18:45,2062655456,1 day on Zillow
4701 Mulberry St,Philadelphia,PA,19124,"$85,000",,,"1,273",40.014446,-75.07922,Lot / Land for sale,https://www.zillow.com/homedetails/4701-Mulberry-St-Philadelphia-PA-19124/2062656299_zpid/,06-23-2022_21:18:45,2062656299,1 day on Zillow
717 S Columbus Blvd UNIT 611,Philadelphia,PA,19147,"$405,500",2,2,"1,304",39.93909,-75.14102,Condo for sale,https://www.zillow.com/homedetails/717-S-Columbus-Blvd-UNIT-611-Philadelphia-PA-19147/2062793945_zpid/,06-23-2022_21:18:45,2062793945,1 day on Zillow
3028 N Judson St,Philadelphia,PA,19132,"$20,000",,,641,,,Lot / Land for sale,https://www.zillow.com/homedetails/3028-N-Judson-St-Philadelphia-PA-19132/2069488561_zpid/,06-23-2022_21:18:45,2069488561,1 day on Zillow
752 S Warnock St,Philadelphia,PA,19147,"$659,000",4,3,"1,884",39.940586,-75.1601,Townhouse for sale,https://www.zillow.com/homedetails/752-S-Warnock-St-Philadelphia-PA-19147/10181908_zpid/,06-23-2022_21:18:45,10181908,Open: Sat. 10am-12pm
232 S Edgewood St,Philadelphia,PA,19139,"$90,000",3,1,"1,030",39.958225,-75.24243,Townhouse for sale,https://www.zillow.com/homedetails/232-S-Edgewood-St-Philadelphia-PA-19139/10184160_zpid/,06-23-2022_21:18:45,10184160,2 days on Zillow
5822 Warrington Ave,Philadelphia,PA,19143,"$135,000",3,1,"1,208",39.93735,-75.23152,Townhouse for sale,https://www.zillow.com/homedetails/5822-Warrington-Ave-Philadelphia-PA-19143/10188907_zpid/,06-23-2022_21:18:45,10188907,2 days on Zillow
1325 N Conestoga St,Philadelphia,PA,19131,"$125,000",,,"2,936",39.97312,-75.22978,Lot / Land for sale,https://www.zillow.com/homedetails/1325-N-Conestoga-St-Philadelphia-PA-19131/10191160_zpid/,06-23-2022_21:18:45,10191160,2 days on Zillow
2918 N Mutter St,Philadelphia,PA,19133,"$63,900",2,1,920,39.994724,-75.13272,Townhouse for sale,https://www.zillow.com/homedetails/2918-N-Mutter-St-Philadelphia-PA-19133/10203136_zpid/,06-23-2022_21:18:45,10203136,2 days on Zillow
120 E Chestnut Hill Ave,Philadelphia,PA,19118,"$549,900",4,3,"2,256",40.0807,-75.20709,House for sale,https://www.zillow.com/homedetails/120-E-Chestnut-Hill-Ave-Philadelphia-PA-19118/10212802_zpid/,06-23-2022_21:18:45,10212802,Open: Sat. 11am-1pm
6818 N 15th St,Philadelphia,PA,19126,"$349,995",5,3,"1,729",40.05755,-75.1426,Townhouse for sale,https://www.zillow.com/homedetails/6818-N-15th-St-Philadelphia-PA-19126/10215778_zpid/,06-23-2022_21:18:45,10215778,2 days on Zillow
1922 Independence St,Philadelphia,PA,19138,"$175,000",3,1,"1,032",40.056763,-75.15021,Townhouse for sale,https://www.zillow.com/homedetails/1922-Independence-St-Philadelphia-PA-19138/10220057_zpid/,06-23-2022_21:18:45,10220057,2 days on Zillow
6637 Gerry St,Philadelphia,PA,19138,"$125,000",,,"1,650",40.055843,-75.15606,Lot / Land for sale,https://www.zillow.com/homedetails/6637-Gerry-St-Philadelphia-PA-19138/10222436_zpid/,06-23-2022_21:18:45,10222436,2 days on Zillow
2647 Earp St,Philadelphia,PA,19146,"$125,000",,,707,39.93615,-75.1888,Lot / Land for sale,https://www.zillow.com/homedetails/2647-Earp-St-Philadelphia-PA-19146/10363950_zpid/,06-23-2022_21:18:45,10363950,2 days on Zillow
2702 Earp St,Philadelphia,PA,19146,"$175,000",,,700,39.935997,-75.189255,Lot / Land for sale,https://www.zillow.com/homedetails/2702-Earp-St-Philadelphia-PA-19146/10363991_zpid/,06-23-2022_21:18:45,10363991,2 days on Zillow
1555 S Chadwick St,Philadelphia,PA,19146,"$425,000",3,2,"1,504",39.9311,-75.17246,Townhouse for sale,https://www.zillow.com/homedetails/1555-S-Chadwick-St-Philadelphia-PA-19146/10371955_zpid/,06-23-2022_21:18:45,10371955,2 days on Zillow
1515 Latona St,Philadelphia,PA,19146,"$460,000",3,2,"2,350",39.935318,-75.16968,Townhouse for sale,https://www.zillow.com/homedetails/1515-Latona-St-Philadelphia-PA-19146/10372883_zpid/,06-23-2022_21:18:45,10372883,Open: Sat. 1-3pm
1950 Granite St,Philadelphia,PA,19124,"$159,900",3,2,"1,851",40.016407,-75.072655,Townhouse for sale,https://www.zillow.com/homedetails/1950-Granite-St-Philadelphia-PA-19124/103779318_zpid/,06-23-2022_21:18:45,103779318,2 days on Zillow
3333 Bowman St,Philadelphia,PA,19129,"$334,900",3,2,"1,056",40.013355,-75.18599,Townhouse for sale,https://www.zillow.com/homedetails/3333-Bowman-St-Philadelphia-PA-19129/10381837_zpid/,06-23-2022_21:18:45,10381837,2 days on Zillow
3448 Sunnyside Ave,Philadelphia,PA,19129,"$550,000",3,3,"1,683",40.01224,-75.18855,Townhouse for sale,https://www.zillow.com/homedetails/3448-Sunnyside-Ave-Philadelphia-PA-19129/10381912_zpid/,06-23-2022_21:18:45,10381912,Open: Sat. 12-2pm
513 Winton St,Philadelphia,PA,19148,"$345,000",3,3,"1,450",39.921856,-75.155815,Townhouse for sale,https://www.zillow.com/homedetails/513-Winton-St-Philadelphia-PA-19148/10386858_zpid/,06-23-2022_21:18:45,10386858,"Price cut: $5,000 (Jun 22)"
710 Mifflin St,Philadelphia,PA,19148,"$325,000",3,2,"1,200",39.925224,-75.15826,Townhouse for sale,https://www.zillow.com/homedetails/710-Mifflin-St-Philadelphia-PA-19148/10389016_zpid/,06-23-2022_21:18:45,10389016,Open: Sat. 1-3:30pm
3324 Vista St,Philadelphia,PA,19136,"$239,900",3,1,"1,668",40.04103,-75.03975,Townhouse for sale,https://www.zillow.com/homedetails/3324-Vista-St-Philadelphia-PA-19136/10569870_zpid/,06-23-2022_21:18:45,10569870,2 days on Zillow
3316 Decatur St,Philadelphia,PA,19136,"$248,000",3,1,"1,056",40.044624,-75.03252,House for sale,https://www.zillow.com/homedetails/3316-Decatur-St-Philadelphia-PA-19136/10571065_zpid/,06-23-2022_21:18:45,10571065,2 days on Zillow
11129 Kirby Dr,Philadelphia,PA,19154,"$339,900",3,3,"1,440",40.083717,-74.976974,House for sale,https://www.zillow.com/homedetails/11129-Kirby-Dr-Philadelphia-PA-19154/10581580_zpid/,06-23-2022_21:18:45,10581580,2 days on Zillow
220 Locust St #19GS,Philadelphia,PA,19106,"$289,900",1,1,803,39.945026,-75.14542,Condo for sale,https://www.zillow.com/homedetails/220-Locust-St-19GS-Philadelphia-PA-19106/10599317_zpid/,06-23-2022_21:18:45,10599317,2 days on Zillow
3621 N 15th St,Philadelphia,PA,19140,"$95,000",,,"1,064",40.008354,-75.1529,Lot / Land for sale,https://www.zillow.com/homedetails/3621-N-15th-St-Philadelphia-PA-19140/118337171_zpid/,06-23-2022_21:18:45,118337171,2 days on Zillow
502 Emily St,Philadelphia,PA,19148,"$480,000",4,3,"2,200",39.92322,-75.155266,Townhouse for sale,https://www.zillow.com/homedetails/502-Emily-St-Philadelphia-PA-19148/118337953_zpid/,06-23-2022_21:18:45,118337953,Open: Sat. 12-2pm
5639 Chew Ave,Philadelphia,PA,19138,"$125,000",,,"1,952",40.0451,-75.163635,Lot / Land for sale,https://www.zillow.com/homedetails/5639-Chew-Ave-Philadelphia-PA-19138/118339517_zpid/,06-23-2022_21:18:45,118339517,2 days on Zillow
3922 Folsom St,Philadelphia,PA,19104,"$150,000",,,910,39.96694,-75.20102,Lot / Land for sale,https://www.zillow.com/homedetails/3922-Folsom-St-Philadelphia-PA-19104/118340378_zpid/,06-23-2022_21:18:45,118340378,2 days on Zillow
2549 N 28th St,Philadelphia,PA,19132,"$25,000",,,"1,309",39.994835,-75.17715,Lot / Land for sale,https://www.zillow.com/homedetails/2549-N-28th-St-Philadelphia-PA-19132/118340863_zpid/,06-23-2022_21:18:45,118340863,2 days on Zillow
4337 Frankford Ave,Philadelphia,PA,19124,"$475,000",1,-,"4,569",40.01171,-75.08791,Multi-family home for sale,https://www.zillow.com/homedetails/4337-Frankford-Ave-Philadelphia-PA-19124/2062673706_zpid/,06-23-2022_21:18:45,2062673706,2 days on Zillow
2025 Poplar St,Philadelphia,PA,19130,"$650,000",3,3,"1,880",39.97166,-75.17002,Multi-family home for sale,https://www.zillow.com/homedetails/2025-Poplar-St-Philadelphia-PA-19130/2062678449_zpid/,06-23-2022_21:18:45,2062678449,2 days on Zillow
6300 Shelbourne St,Philadelphia,PA,19111,"$624,900",7,4,"3,360",40.05024,-75.09943,House for sale,https://www.zillow.com/homedetails/6300-Shelbourne-St-Philadelphia-PA-19111/2062678453_zpid/,06-23-2022_21:18:45,2062678453,2 days on Zillow
201 E Church Ln,Philadelphia,PA,19144,"$200,000",4,3,"2,138",,,House for sale,https://www.zillow.com/homedetails/201-E-Church-Ln-Philadelphia-PA-19144/2062701147_zpid/,06-23-2022_21:18:45,2062701147,2 days on Zillow
1148 N 2nd St UNIT 2G,Philadelphia,PA,19123,"$417,000",2,2,"1,024",,,New construction,https://www.zillow.com/homedetails/1148-N-2nd-St-UNIT-2G-Philadelphia-PA-19123/2065687653_zpid/,06-23-2022_21:18:45,2065687653,2 days on Zillow
1148 N 2nd St #5B,Philadelphia,PA,19123,"$527,000",3,2,"1,237",,,New construction,https://www.zillow.com/homedetails/1148-N-2nd-St-5B-Philadelphia-PA-19123/2067006813_zpid/,06-23-2022_21:18:45,2067006813,2 days on Zillow
1148 N 2nd St #4H,Philadelphia,PA,19123,"$427,000",2,2,"1,024",,,New construction,https://www.zillow.com/homedetails/1148-N-2nd-St-4H-Philadelphia-PA-19123/2068582684_zpid/,06-23-2022_21:18:45,2068582684,2 days on Zillow
5631 McMahon St,Philadelphia,PA,19144,"$25,000",,,"1,686",40.04354,-75.16453,Lot / Land for sale,https://www.zillow.com/homedetails/5631-McMahon-St-Philadelphia-PA-19144/2068908226_zpid/,06-23-2022_21:18:45,2068908226,2 days on Zillow
1540 S 17th St,Philadelphia,PA,19146,"$810,000",4,4,--,39.931213,-75.17337,New construction,https://www.zillow.com/homedetails/1540-S-17th-St-Philadelphia-PA-19146/2072258258_zpid/,06-23-2022_21:18:45,2072258258,2 days on Zillow
5621 McMahon Ave,Philadelphia,PA,19144,"$239,900",4,3,"1,334",40.043415,-75.164314,House for sale,https://www.zillow.com/homedetails/5621-McMahon-Ave-Philadelphia-PA-19144/10230848_zpid/,06-23-2022_21:18:45,10230848,3 days on Zillow
2309 Fairmount Ave,Philadelphia,PA,19130,"$849,000",4,3,"2,196",39.967583,-75.1757,Townhouse for sale,https://www.zillow.com/homedetails/2309-Fairmount-Ave-Philadelphia-PA-19130/10243814_zpid/,06-23-2022_21:18:45,10243814,3 days on Zillow
2505 N 20th St,Philadelphia,PA,19132,"$40,000",,,672,39.99222,-75.164474,Lot / Land for sale,https://www.zillow.com/homedetails/2505-N-20th-St-Philadelphia-PA-19132/10247934_zpid/,06-23-2022_21:18:45,10247934,"Price cut: $10,000 (Jun 21)"
5815 N 16th St,Philadelphia,PA,19141,"$280,000",4,2,"1,600",40.041862,-75.146645,Townhouse for sale,https://www.zillow.com/homedetails/5815-N-16th-St-Philadelphia-PA-19141/10252881_zpid/,06-23-2022_21:18:45,10252881,3 days on Zillow
6420 N Woodstock St,Philadelphia,PA,19138,"$160,000",3,1,"1,212",40.052402,-75.15397,Townhouse for sale,https://www.zillow.com/homedetails/6420-N-Woodstock-St-Philadelphia-PA-19138/10255134_zpid/,06-23-2022_21:18:45,10255134,3 days on Zillow
1213 E Susquehanna Ave,Philadelphia,PA,19125,"$575,000",4,3,"3,090",39.97267,-75.1248,Townhouse for sale,https://www.zillow.com/homedetails/1213-E-Susquehanna-Ave-Philadelphia-PA-19125/10257615_zpid/,06-23-2022_21:18:45,10257615,Open: Sat. 11am-1pm
235 W Thompson St,Philadelphia,PA,19122,"$350,000",2,2,"1,600",39.971077,-75.1405,Townhouse for sale,https://www.zillow.com/homedetails/235-W-Thompson-St-Philadelphia-PA-19122/10259293_zpid/,06-23-2022_21:18:45,10259293,Open: Sun. 12-2pm
11 E Jefferson St,Philadelphia,PA,19125,"$385,000",3,2,"1,119",39.97312,-75.13451,Townhouse for sale,https://www.zillow.com/homedetails/11-E-Jefferson-St-Philadelphia-PA-19125/10259323_zpid/,06-23-2022_21:18:45,10259323,Open: Sat. 11am-1pm
1735 Blair St,Philadelphia,PA,19125,"$329,900",2,2,"1,344",39.975433,-75.133224,Townhouse for sale,https://www.zillow.com/homedetails/1735-Blair-St-Philadelphia-PA-19125/10259967_zpid/,06-23-2022_21:18:45,10259967,3 days on Zillow
3640 Sepviva St,Philadelphia,PA,19134,"$169,000",2,1,"1,049",39.996597,-75.09839,Townhouse for sale,https://www.zillow.com/homedetails/3640-Sepviva-St-Philadelphia-PA-19134/10445382_zpid/,06-23-2022_21:18:45,10445382,3 days on Zillow
2241 Simon St,Philadelphia,PA,19137,"$109,900",2,1,822,40.010494,-75.065025,Townhouse for sale,https://www.zillow.com/homedetails/2241-Simon-St-Philadelphia-PA-19137/10451097_zpid/,06-23-2022_21:18:45,10451097,3 days on Zillow
1839 McClellan St,Philadelphia,PA,19145,"$199,000",2,1,"1,200",39.928684,-75.17644,Townhouse for sale,https://www.zillow.com/homedetails/1839-McClellan-St-Philadelphia-PA-19145/10456696_zpid/,06-23-2022_21:18:45,10456696,3D Homes Icon3D Tour
528 W Fisher Ave,Philadelphia,PA,19120,"$194,900",3,2,"1,088",40.03184,-75.13272,Townhouse for sale,https://www.zillow.com/homedetails/528-W-Fisher-Ave-Philadelphia-PA-19120/10466204_zpid/,06-23-2022_21:18:45,10466204,3 days on Zillow
