address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,list_url,date_scraped,listing_id,listing_time
918 W Linger Ln,Phoenix,AZ,85021,"$1,995,000",5,4,"4,775",33.55218,-112.08601,House for sale,https://www.zillow.com/homedetails/918-W-Linger-Ln-Phoenix-AZ-85021/7776863_zpid/,06-23-2022_21:28:03,7776863,13 minutes ago
5443 E Hashknife Rd,Phoenix,AZ,85054,"$1,699,000",3,3,"3,762",33.693684,-111.9579,House for sale,https://www.zillow.com/homedetails/5443-E-Hashknife-Rd-Phoenix-AZ-85054/7989493_zpid/,06-23-2022_21:28:03,7989493,30 minutes ago
3208 W Silver Sage Ln,Phoenix,AZ,85083,"$595,000",4,3,"2,842",33.75517,-112.1606,House for sale,https://www.zillow.com/homedetails/3208-W-Silver-Sage-Ln-Phoenix-AZ-85083/55205616_zpid/,06-23-2022_21:28:03,55205616,Open: Fri. 4-7pm
1501 W Grovers Ave,Phoenix,AZ,85023,"$399,000",3,2,"1,998",33.647167,-112.09174,House for sale,https://www.zillow.com/homedetails/1501-W-Grovers-Ave-Phoenix-AZ-85023/7963953_zpid/,06-23-2022_21:28:03,7963953,34 minutes ago
207 W Clarendon Ave #F16,Phoenix,AZ,85013,"$399,000",3,2,"1,542",33.49109,-112.07668,Apartment for sale,https://www.zillow.com/homedetails/207-W-Clarendon-Ave-F16-Phoenix-AZ-85013/2062653573_zpid/,06-23-2022_21:28:03,2062653573,36 minutes ago
16201 N 33rd Ln,Phoenix,AZ,85053,"$450,000",5,3,"2,246",33.629303,-112.1335,House for sale,https://www.zillow.com/homedetails/16201-N-33rd-Ln-Phoenix-AZ-85053/7953860_zpid/,06-23-2022_21:28:03,7953860,38 minutes ago
4346 E Earll Dr,Phoenix,AZ,85018,"$450,000",3,1,"1,128",33.48463,-111.98722,House for sale,https://www.zillow.com/homedetails/4346-E-Earll-Dr-Phoenix-AZ-85018/7563730_zpid/,06-23-2022_21:28:03,7563730,41 minutes ago
4251 E Nisbet Rd,Phoenix,AZ,85032,"$650,000",4,2,"2,063",33.622433,-111.98945,House for sale,https://www.zillow.com/homedetails/4251-E-Nisbet-Rd-Phoenix-AZ-85032/8029986_zpid/,06-23-2022_21:28:03,8029986,Open: Sat. 11am-2pm
17017 N 12th St UNIT 1115,Phoenix,AZ,85022,"$209,000",1,1,757,33.64081,-112.05578,Apartment for sale,https://www.zillow.com/homedetails/17017-N-12th-St-UNIT-1115-Phoenix-AZ-85022/71630672_zpid/,06-23-2022_21:28:03,71630672,50 minutes ago
4421 E Pueblo Ave,Phoenix,AZ,85040,"$180,000",2,2,"1,090",33.407646,-111.9862,Townhouse for sale,https://www.zillow.com/homedetails/4421-E-Pueblo-Ave-Phoenix-AZ-85040/7557323_zpid/,06-23-2022_21:28:03,7557323,4 hours ago
2207 W Le Marche Ave,Phoenix,AZ,85023,"$420,000",2,3,"1,310",33.631683,-112.106125,House for sale,https://www.zillow.com/homedetails/2207-W-Le-Marche-Ave-Phoenix-AZ-85023/89456995_zpid/,06-23-2022_21:28:03,89456995,4 hours ago
8185 W Groom Creek Rd,Phoenix,AZ,85043,"$350,000",3,3,"1,453",33.463787,-112.23488,Townhouse for sale,https://www.zillow.com/homedetails/8185-W-Groom-Creek-Rd-Phoenix-AZ-85043/88786164_zpid/,06-23-2022_21:28:03,88786164,Open: Sat. 9am-12pm
2719 E Bluefield Ave,Phoenix,AZ,85032,"$440,000",4,3,"1,707",33.65364,-112.02362,House for sale,https://www.zillow.com/homedetails/2719-E-Bluefield-Ave-Phoenix-AZ-85032/8000073_zpid/,06-23-2022_21:28:03,8000073,Open: Sat. 12-3pm
4433 E Wood St,Phoenix,AZ,85040,"$185,000",2,2,924,33.408306,-111.98558,Townhouse for sale,https://www.zillow.com/homedetails/4433-E-Wood-St-Phoenix-AZ-85040/7557163_zpid/,06-23-2022_21:28:03,7557163,4 hours ago
1612 N 49th Ave,Phoenix,AZ,85035,"$360,000",4,2,"1,284",33.466797,-112.16666,House for sale,https://www.zillow.com/homedetails/1612-N-49th-Ave-Phoenix-AZ-85035/7494920_zpid/,06-23-2022_21:28:03,7494920,4 hours ago
4819 N Limonero Cir,Phoenix,AZ,85037,"$410,000",3,2,"1,416",33.50622,-112.28128,House for sale,https://www.zillow.com/homedetails/4819-N-Limonero-Cir-Phoenix-AZ-85037/7484092_zpid/,06-23-2022_21:28:03,7484092,4 hours ago
6623 N 19th St,Phoenix,AZ,85016,"$689,900",4,2,"2,260",33.533897,-112.03974,House for sale,https://www.zillow.com/homedetails/6623-N-19th-St-Phoenix-AZ-85016/7807992_zpid/,06-23-2022_21:28:03,7807992,4 hours ago
3941 W Acoma Dr,Phoenix,AZ,85053,"$825,000",4,3,"2,197",33.61772,-112.14526,House for sale,https://www.zillow.com/homedetails/3941-W-Acoma-Dr-Phoenix-AZ-85053/7945261_zpid/,06-23-2022_21:28:03,7945261,4 hours ago
8602 N Dove Cir,Phoenix,AZ,85028,"$4,350,000",5,6,"5,920",33.563236,-111.98161,House for sale,https://www.zillow.com/homedetails/8602-N-Dove-Cir-Phoenix-AZ-85028/7830412_zpid/,06-23-2022_21:28:03,7830412,3D Homes Icon3D Tour
15039 N 30th Dr,Phoenix,AZ,85053,"$415,000",4,2,"2,160",33.622612,-112.1238,House for sale,https://www.zillow.com/homedetails/15039-N-30th-Dr-Phoenix-AZ-85053/7952779_zpid/,06-23-2022_21:28:03,7952779,7 hours ago
34113 N 24th Dr,Phoenix,AZ,85085,"$720,000",5,3,"3,275",33.794437,-112.11171,House for sale,https://www.zillow.com/homedetails/34113-N-24th-Dr-Phoenix-AZ-85085/61629027_zpid/,06-23-2022_21:28:03,61629027,7 hours ago
4410 N Longview Ave UNIT 206,Phoenix,AZ,85014,"$249,500",2,2,860,33.50034,-112.05453,Condo for sale,https://www.zillow.com/homedetails/4410-N-Longview-Ave-UNIT-206-Phoenix-AZ-85014/81957724_zpid/,06-23-2022_21:28:03,81957724,7 hours ago
8845 N 29th Ave,Phoenix,AZ,85051,"$249,950",3,2,"1,176",33.56729,-112.12097,House for sale,https://www.zillow.com/homedetails/8845-N-29th-Ave-Phoenix-AZ-85051/59270994_zpid/,06-23-2022_21:28:03,59270994,7 hours ago
7228 S 74th Ln,Laveen,AZ,85339,"$499,900",4,2,"2,145",33.38051,-112.2194,House for sale,https://www.zillow.com/homedetails/7228-S-74th-Ln-Laveen-AZ-85339/71612361_zpid/,06-23-2022_21:28:03,71612361,7 hours ago
5415 W Yearling Rd,Phoenix,AZ,85083,"$682,000",3,3,"2,446",33.718925,-112.17357,House for sale,https://www.zillow.com/homedetails/5415-W-Yearling-Rd-Phoenix-AZ-85083/95136034_zpid/,06-23-2022_21:28:03,95136034,7 hours ago
16243 N 31st St,Phoenix,AZ,85032,"$3,500,000",3,1,"11,200",33.63541,-112.01505,Multi-family home for sale,https://www.zillow.com/homedetails/16243-N-31st-St-Phoenix-AZ-85032/2062660085_zpid/,06-23-2022_21:28:03,2062660085,7 hours ago
3229 E Willetta St,Phoenix,AZ,85008,"$449,900",4,2,"1,570",33.463665,-112.0115,House for sale,https://www.zillow.com/homedetails/3229-E-Willetta-St-Phoenix-AZ-85008/7544004_zpid/,06-23-2022_21:28:03,7544004,7 hours ago
5737 N 38th Ave,Phoenix,AZ,85019,"$339,900",4,2,"1,668",33.521957,-112.14005,House for sale,https://www.zillow.com/homedetails/5737-N-38th-Ave-Phoenix-AZ-85019/7719040_zpid/,06-23-2022_21:28:03,7719040,12 hours ago
2641 E Aire Libre Ave,Phoenix,AZ,85032,"$150,000",5,1,561,33.636707,-112.024704,Home for sale,https://www.zillow.com/homedetails/2641-E-Aire-Libre-Ave-Phoenix-AZ-85032/8005621_zpid/,06-23-2022_21:28:03,8005621,12 hours ago
21655 N 36th Ave UNIT 126,Glendale,AZ,85308,"$389,000",3,3,"1,457",33.683506,-112.13724,Townhouse for sale,https://www.zillow.com/homedetails/21655-N-36th-Ave-UNIT-126-Glendale-AZ-85308/88789604_zpid/,06-23-2022_21:28:03,88789604,13 hours ago
11645 N 50th St,Scottsdale,AZ,85254,"$1,495,000",5,3,"2,900",33.593273,-111.973114,House for sale,https://www.zillow.com/homedetails/11645-N-50th-St-Scottsdale-AZ-85254/7826367_zpid/,06-23-2022_21:28:03,7826367,Open: Fri. 3-6pm
3735 E Janice Way,Phoenix,AZ,85032,"$435,000",3,2,"1,064",33.623875,-112.001305,House for sale,https://www.zillow.com/homedetails/3735-E-Janice-Way-Phoenix-AZ-85032/8013177_zpid/,06-23-2022_21:28:03,8013177,17 hours ago
8134 W Gibson Ln,Phoenix,AZ,85043,"$465,000",3,2,"1,843",33.427933,-112.23572,House for sale,https://www.zillow.com/homedetails/8134-W-Gibson-Ln-Phoenix-AZ-85043/52423785_zpid/,06-23-2022_21:28:03,52423785,18 hours ago
1720 E Thunderbird Rd UNIT 2075,Phoenix,AZ,85022,"$225,000",1,1,581,33.599773,-112.04391,Condo for sale,https://www.zillow.com/homedetails/1720-E-Thunderbird-Rd-UNIT-2075-Phoenix-AZ-85022/67802076_zpid/,06-23-2022_21:28:03,67802076,18 hours ago
9428 N 9th Ave,Phoenix,AZ,85021,"$200,000",6,3,"1,920",33.572254,-112.085045,New construction,https://www.zillow.com/homedetails/9428-N-9th-Ave-Phoenix-AZ-85021/7782040_zpid/,06-23-2022_21:28:03,7782040,18 hours ago
3233 N 37th St UNIT 8,Phoenix,AZ,85018,"$274,900",2,1,900,33.48757,-112.001114,Multi-family home for sale,https://www.zillow.com/homedetails/3233-N-37th-St-UNIT-8-Phoenix-AZ-85018/82801717_zpid/,06-23-2022_21:28:03,82801717,18 hours ago
21914 N 36th St,Phoenix,AZ,85050,"$765,000",3,2,"2,345",33.685455,-112.00468,House for sale,https://www.zillow.com/homedetails/21914-N-36th-St-Phoenix-AZ-85050/82821566_zpid/,06-23-2022_21:28:03,82821566,18 hours ago
2811 E Constance Way,Phoenix,AZ,85042,"$1,289,000",4,4,"3,407",33.37533,-112.0223,House for sale,https://www.zillow.com/homedetails/2811-E-Constance-Way-Phoenix-AZ-85042/95098995_zpid/,06-23-2022_21:28:03,95098995,18 hours ago
8141 W Encinas Ln,Phoenix,AZ,85043,"$440,000",3,2,"1,830",33.410458,-112.23569,House for sale,https://www.zillow.com/homedetails/8141-W-Encinas-Ln-Phoenix-AZ-85043/95158648_zpid/,06-23-2022_21:28:03,95158648,18 hours ago
