address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,list_url,date_scraped,listing_id,listing_time
3739 NE Senate St,Portland,OR,97232,"$850,000",4,2,"3,272",45.533016,-122.62442,Active,https://www.zillow.com/homedetails/3739-NE-Senate-St-Portland-OR-97232/53899299_zpid/,06-23-2022_21:20:34,53899299,5 minutes ago
11121 SE Grant Ct,Portland,OR,97216,"$390,000",3,1,"1,008",45.506943,-122.54893,Active,https://www.zillow.com/homedetails/11121-SE-Grant-Ct-Portland-OR-97216/53909225_zpid/,06-23-2022_21:20:34,53909225,Play video iconVideo Walkthrough
3636 N Halleck St,Portland,OR,97217,"$509,000",3,2,912,45.582443,-122.704185,Active,https://www.zillow.com/homedetails/3636-N-Halleck-St-Portland-OR-97217/53832763_zpid/,06-23-2022_21:20:34,53832763,Open: Sat. 1-3pm
7406 SE Henry St,Portland,OR,97206,"$370,000",2,1,792,45.476727,-122.586555,Active,https://www.zillow.com/homedetails/7406-SE-Henry-St-Portland-OR-97206/79895474_zpid/,06-23-2022_21:20:34,79895474,25 minutes ago
6823 N Powers St,Portland,OR,97203,"$465,000",3,3,"1,418",45.594013,-122.7329,Active,https://www.zillow.com/homedetails/6823-N-Powers-St-Portland-OR-97203/53854643_zpid/,06-23-2022_21:20:34,53854643,3D Homes Icon3D Tour
4520 SE 46th Ave,Portland,OR,97206,"$550,000",3,1,"2,250",45.489853,-122.61457,Active,https://www.zillow.com/homedetails/4520-SE-46th-Ave-Portland-OR-97206/53968148_zpid/,06-23-2022_21:20:34,53968148,31 minutes ago
3143 NE Hoyt St,Portland,OR,97232,"$699,000",4,2,"2,276",45.52742,-122.63209,Active,https://www.zillow.com/homedetails/3143-NE-Hoyt-St-Portland-OR-97232/53899066_zpid/,06-23-2022_21:20:34,53899066,43 minutes ago
2025 SE 139th Ave,Portland,OR,97233,"$589,750",2,2,"2,348",45.50843,-122.52145,Active,https://www.zillow.com/homedetails/2025-SE-139th-Ave-Portland-OR-97233/53929198_zpid/,06-23-2022_21:20:34,53929198,1 hour ago
1104 SW Columbia St UNIT 104,Portland,OR,97201,"$219,000",1,1,559,45.51563,-122.68617,Active,https://www.zillow.com/homedetails/1104-SW-Columbia-St-UNIT-104-Portland-OR-97201/68354069_zpid/,06-23-2022_21:20:34,68354069,1 hour ago
14137 SE Center St,Portland,OR,97236,"$539,900",3,3,"1,759",45.49406,-122.517525,Active,https://www.zillow.com/homedetails/14137-SE-Center-St-Portland-OR-97236/53880314_zpid/,06-23-2022_21:20:34,53880314,4 hours ago
1622 NE 114th Pl,Portland,OR,97220,"$514,800",3,3,"1,531",45.53467,-122.54535,Active,https://www.zillow.com/homedetails/1622-NE-114th-Pl-Portland-OR-97220/53909831_zpid/,06-23-2022_21:20:34,53909831,4 hours ago
1505 SE Haig St,Portland,OR,97202,"$745,000",4,2,"2,328",45.498356,-122.650085,Active,https://www.zillow.com/homedetails/1505-SE-Haig-St-Portland-OR-97202/53864234_zpid/,06-23-2022_21:20:34,53864234,Open: Sat. 12-3pm
