address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,list_url,date_scraped
590 1st Avenue S UNIT 712,Seattle,WA,98104,"$575,000",1,1,650,47.595985,-122.33357,Active,https://www.zillow.com/homedetails/590-1st-Ave-S-712-Seattle-WA-98104/2091149056_zpid/,06-10-2022_19:53:51
6740 21st Avenue SW,Seattle,WA,98106,"$1,500,000",4,4,"2,960",47.541264,-122.35959,Active,https://www.zillow.com/homedetails/6740-21st-Ave-SW-Seattle-WA-98106/337596631_zpid/,06-10-2022_19:53:51
2830 SW Dakota UNIT B,Seattle,WA,98126,"$725,000",3,3,"1,360",47.566887,-122.36923,Active,https://www.zillow.com/homedetails/2830-SW-Dakota-St-B-Seattle-WA-98126/2082308015_zpid/,06-10-2022_19:53:51
590 1st Avenue S UNIT 904,Seattle,WA,98104,"$715,000",1,1,809,47.595985,-122.33357,Active,https://www.zillow.com/homedetails/590-1st-Ave-S-APT-904-Seattle-WA-98104/2085390168_zpid/,06-10-2022_19:53:51
731 N 89th Street,Seattle,WA,98103,"$1,494,900",6,4,"3,262",47.69325,-122.34847,Active,https://www.zillow.com/homedetails/731-N-89th-St-Seattle-WA-98103/49122894_zpid/,06-10-2022_19:53:51
11123 Luther Avenue S,Seattle,WA,98178,"$649,950",,-,"1,750",47.50087,-122.26695,Active,https://www.zillow.com/homedetails/11123-Luther-Ave-S-Seattle-WA-98178/48866928_zpid/,06-10-2022_19:53:51
2615 E Howell Street,Seattle,WA,98122,"$950,000",3,3,"1,930",47.617474,-122.29792,Active,https://www.zillow.com/homedetails/2615-E-Howell-St-Seattle-WA-98122/49146801_zpid/,06-10-2022_19:53:51
590 1st Avenue S UNIT 1013,Seattle,WA,98104,"$635,000",1,1,664,47.595985,-122.33357,Active,https://www.zillow.com/homedetails/590-1st-Ave-S-APT-1013-Seattle-WA-98104/2081198598_zpid/,06-10-2022_19:53:51
4607 Burke Avenue N,Seattle,WA,98103,"$779,000",2,2,946,47.66217,-122.33517,Active,https://www.zillow.com/homedetails/4607-Burke-Ave-N-Seattle-WA-98103/2062905003_zpid/,06-10-2022_19:53:51
630 13th Avenue E UNIT 2,Seattle,WA,98102,"$449,000",2,1,783,47.62524,-122.31531,Active,https://www.zillow.com/homedetails/630-13th-Ave-E-APT-2-Seattle-WA-98102/49095482_zpid/,06-10-2022_19:53:51
3636 14th Avenue W UNIT 102,Seattle,WA,98119,"$615,000",2,2,"1,215",47.653248,-122.37462,Active,https://www.zillow.com/homedetails/3636-14th-Ave-W-APT-102-Seattle-WA-98119/49015166_zpid/,06-10-2022_19:53:51
9402 12th Avenue SW,Seattle,WA,98106,"$685,000",3,2,"2,130",47.51885,-122.35021,Active,https://www.zillow.com/homedetails/9402-12th-Ave-SW-Seattle-WA-98106/49073537_zpid/,06-10-2022_19:53:51
2305 42nd Avenue SW,Seattle,WA,98116,"$850,000",3,2,"1,630",47.582756,-122.385376,Active,https://www.zillow.com/homedetails/2305-42nd-Ave-SW-Seattle-WA-98116/48981314_zpid/,06-10-2022_19:53:51
4721 49th Avenue S,Seattle,WA,98118,"$895,000",2,1,850,47.55991,-122.27234,Active,https://www.zillow.com/homedetails/4721-49th-Ave-S-Seattle-WA-98118/48954320_zpid/,06-10-2022_19:53:51
1010 S Director Street,Seattle,WA,98108,"$725,000",3,2,"2,150",47.52246,-122.319786,Active,https://www.zillow.com/homedetails/1010-S-Director-St-Seattle-WA-98108/49065321_zpid/,06-10-2022_19:53:51
530 Broadway E UNIT 301,Seattle,WA,98102,"$479,000",1,1,524,47.62399,-122.32042,Active,https://www.zillow.com/homedetails/530-Broadway-E-APT-301-Seattle-WA-98102/88878221_zpid/,06-10-2022_19:53:51
4063 Letitia Avenue S,Seattle,WA,98118,"$749,900",3,1,"1,290",47.56651,-122.2902,Active,https://www.zillow.com/homedetails/4063-Letitia-Ave-S-Seattle-WA-98118/48745433_zpid/,06-10-2022_19:53:51
7720 Greenwood Avenue N UNIT 307,Seattle,WA,98103,"$625,000",1,1,807,47.68528,-122.35491,Active,https://www.zillow.com/homedetails/7720-Greenwood-Ave-N-APT-307-Seattle-WA-98103/61767413_zpid/,06-10-2022_19:53:51
