address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,listing_id,list_url,date_scraped
4831 Western Ave NW,Washington,DC,20016,"$1,050,000",3,2,"1,413",38.952747,-77.09539,House for sale,437822,https://www.zillow.com/homedetails/4831-Western-Ave-NW-Washington-DC-20016/437822_zpid/,06-10-2022_19:45:18
4201 Cathedral Ave NW APT 1205W,Washington,DC,20016,"$749,999",3,2,"1,801",38.93625,-77.08623,Condo for sale,440988,https://www.zillow.com/homedetails/4201-Cathedral-Ave-NW-APT-1205W-Washington-DC-20016/440988_zpid/,06-10-2022_19:45:18
4230 Brandywine St NW,Washington,DC,20016,"$1,690,000",3,4,"2,680",38.949547,-77.08351,House for sale,443095,https://www.zillow.com/homedetails/4230-Brandywine-St-NW-Washington-DC-20016/443095_zpid/,06-10-2022_19:45:18
4600 Connecticut Ave NW APT 621,Washington,DC,20008,"$250,000",1,1,550,38.95019,-77.06755,Condo for sale,451382,https://www.zillow.com/homedetails/4600-Connecticut-Ave-NW-APT-621-Washington-DC-20008/451382_zpid/,06-10-2022_19:45:18
2829 29th Pl NW,Washington,DC,20008,"$1,695,000",4,4,"3,000",38.925095,-77.058014,House for sale,456177,https://www.zillow.com/homedetails/2829-29th-Pl-NW-Washington-DC-20008/456177_zpid/,06-10-2022_19:45:18
3701 Connecticut Ave NW APT 805,Washington,DC,20008,"$249,900",,1,574,38.93836,-77.059326,Condo for sale,457778,https://www.zillow.com/homedetails/3701-Connecticut-Ave-NW-APT-805-Washington-DC-20008/457778_zpid/,06-10-2022_19:45:18
2123 California St NW APT C6,Washington,DC,20008,"$685,000",3,2,"1,173",38.91674,-77.04782,Condo for sale,460838,https://www.zillow.com/homedetails/2123-California-St-NW-APT-C6-Washington-DC-20008/460838_zpid/,06-10-2022_19:45:18
1803 Phelps Pl NW,Washington,DC,20008,"$2,550,000",5,5,"3,226",38.914345,-77.047874,Townhouse for sale,461278,https://www.zillow.com/homedetails/1803-Phelps-Pl-NW-Washington-DC-20008/461278_zpid/,06-10-2022_19:45:18
2627 Adams Mill Rd NW APT 109,Washington,DC,20009,"$549,000",2,1,814,38.92396,-77.04408,Condo for sale,464605,https://www.zillow.com/homedetails/2627-Adams-Mill-Rd-NW-APT-109-Washington-DC-20009/464605_zpid/,06-10-2022_19:45:18
1133 6th St NW APT 4,Washington,DC,20001,"$874,900",2,3,982,38.905254,-77.019585,Condo for sale,99401628,https://www.zillow.com/homedetails/1133-6th-St-NW-APT-4-Washington-DC-20001/99401628_zpid/,06-10-2022_19:45:18
Edgewood Plan,,,,"$959,900",3,2,"2,149",38.928482,-77.00049,New construction,2063164854,https://www.zillow.com/community/brookland-grove/2063164854_zpid/,06-10-2022_19:45:18
1343 Clifton St NW APT 301,Washington,DC,20009,"$510,000",2,2,789,38.9228,-77.03128,Condo for sale,114414355,https://www.zillow.com/homedetails/1343-Clifton-St-NW-APT-301-Washington-DC-20009/114414355_zpid/,06-10-2022_19:45:18
1804 Independence Ave SE #1,Washington,DC,20003,"$999,000",3,4,"2,230",38.88783,-76.978546,Condo for sale,121038106,https://www.zillow.com/homedetails/1804-Independence-Ave-SE-1-Washington-DC-20003/121038106_zpid/,06-10-2022_19:45:18
925 H St NW APT 510,Washington,DC,20001,"$1,499,000",2,2,"1,452",38.89995,-77.02445,Condo for sale,121340499,https://www.zillow.com/homedetails/925-H-St-NW-APT-510-Washington-DC-20001/121340499_zpid/,06-10-2022_19:45:18
1367 Florida Ave NE #102,Washington,DC,20002,"$399,000",2,2,821,38.900887,-76.98651,Condo for sale,121343681,https://www.zillow.com/homedetails/1367-Florida-Ave-NE-102-Washington-DC-20002/121343681_zpid/,06-10-2022_19:45:18
1839 6th St NW APT 2,Washington,DC,20001,"$624,900",2,3,"1,100",38.915024,-77.01964,Condo for sale,123823559,https://www.zillow.com/homedetails/1839-6th-St-NW-APT-2-Washington-DC-20001/123823559_zpid/,06-10-2022_19:45:18
16 17th St NE APT 331,Washington,DC,20002,"$689,000",2,2,"1,073",38.89042,-76.98109,Condo for sale,124230775,https://www.zillow.com/homedetails/16-17th-St-NE-APT-331-Washington-DC-20002/124230775_zpid/,06-10-2022_19:45:18
Anacostia Rd SE,Washington,DC,20019,"$250,000",,,"2,463",38.889236,-76.96168,Lot / Land for sale,183112506,https://www.zillow.com/homedetails/Anacostia-Rd-SE-Washington-DC-20019/183112506_zpid/,06-10-2022_19:45:18
1916 17th St NW APT 3,Washington,DC,20009,"$449,000",1,1,575,38.916107,-77.03898,Condo for sale,400053,https://www.zillow.com/homedetails/1916-17th-St-NW-APT-3-Washington-DC-20009/400053_zpid/,06-10-2022_19:45:18
1816 New Hampshire Ave NW APT 203,Washington,DC,20009,"$249,900",,1,344,38.91497,-77.03903,Condo for sale,400493,https://www.zillow.com/homedetails/1816-New-Hampshire-Ave-NW-APT-203-Washington-DC-20009/400493_zpid/,06-10-2022_19:45:18
1711 Massachusetts Ave NW #315,Washington,DC,20036,"$249,000",1,1,490,38.90874,-77.039024,Condo for sale,402212,https://www.zillow.com/homedetails/1711-Massachusetts-Ave-NW-315-Washington-DC-20036/402212_zpid/,06-10-2022_19:45:18
1822 15th St NW APT 307,Washington,DC,20009,"$349,000",1,1,397,38.914955,-77.03492,Condo for sale,404141,https://www.zillow.com/homedetails/1822-15th-St-NW-APT-307-Washington-DC-20009/404141_zpid/,06-10-2022_19:45:18
2221 13th St NW,Washington,DC,20009,"$1,500,000",3,3,"2,412",38.91985,-77.029305,Townhouse for sale,406378,https://www.zillow.com/homedetails/2221-13th-St-NW-Washington-DC-20009/406378_zpid/,06-10-2022_19:45:18
1925 13th St NW #A,Washington,DC,20009,"$999,999",2,3,"1,582",38.91645,-77.02927,Townhouse for sale,406513,https://www.zillow.com/homedetails/1925-13th-St-NW-A-Washington-DC-20009/406513_zpid/,06-10-2022_19:45:18
1245 13th St NW APT 915,Washington,DC,20005,"$398,000",1,1,632,38.90712,-77.02944,Condo for sale,407054,https://www.zillow.com/homedetails/1245-13th-St-NW-APT-915-Washington-DC-20005/407054_zpid/,06-10-2022_19:45:18
1250 4th St SW #W812,Washington,DC,20024,"$272,000",,1,463,38.875458,-77.01737,Condo for sale,411646,https://www.zillow.com/homedetails/1250-4th-St-SW-W812-Washington-DC-20024/411646_zpid/,06-10-2022_19:45:18
300 M St SW #N606,Washington,DC,20024,"$340,000",1,1,745,38.876133,-77.01649,Condo for sale,411885,https://www.zillow.com/homedetails/300-M-St-SW-N606-Washington-DC-20024/411885_zpid/,06-10-2022_19:45:18
1309 Quincy St NW,Washington,DC,20011,"$879,900",4,2,"2,371",38.93786,-77.03023,Townhouse for sale,472156,https://www.zillow.com/homedetails/1309-Quincy-St-NW-Washington-DC-20011/472156_zpid/,06-10-2022_19:45:18
3603 11th St NW,Washington,DC,20010,"$1,039,000",4,4,"2,081",38.934723,-77.02828,Townhouse for sale,472491,https://www.zillow.com/homedetails/3603-11th-St-NW-Washington-DC-20010/472491_zpid/,06-10-2022_19:45:18
